"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpu.FunctionCall","cpuTime","run","cached","renderBlocking","jpeg_scan_count","score_progressive_jpeg","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","initiator_function",
"3","230330_A8_CS","19065.20","127.0.0.1","https://pakistan.gov.pk/img/double-tail-spin.svg","1","GET","pakistan.gov.pk","/img/double-tail-spin.svg","19065.20","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","404","Image","356","332","8052","8052.093","1635","1635","1635","","","text/html","","25","http/1.1","-1","-1","-1","-1","-1","-1","https://pakistan.gov.pk/","472","","parser","High","Low","","2131","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","","","","","","","","","","8018","","","","","8081","","","8408","8052","8384","8384","8408","24","8052","8408","356","10","11","","","","","1","0","","","","","","","","",
"3","230330_A8_CS","19065.22","127.0.0.1","https://pakistan.gov.pk/img/Untitledasdasda.jpg","1","GET","pakistan.gov.pk","/img/Untitledasdasda.jpg","19065.22","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Image","1605","1588","8075","8075.098","96489","96489","96489","","","image/jpeg","","43","http/1.1","-1","-1","-1","-1","-1","-1","https://pakistan.gov.pk/","472","","parser","High","Low","","2128","0","0","-1","-1","100","-1","-1","28","-1","-1","-1","-1","","","","","96489","68653","0","","","8027","","","","","8081","","","9680","8075","9663","9663","9680","17","8075","9680","1605","11","12","","","","","1","0","","7","100","","","","","",
"3","230330_A8_CS","19065.23","127.0.0.1","https://pakistan.gov.pk/img/gop-banner.jpg","1","GET","pakistan.gov.pk","/img/gop-banner.jpg","19065.23","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Image","3103","3076","8076","8076.015","167480","167480","167480","","","image/jpeg","","61","http/1.1","-1","-1","-1","-1","-1","-1","https://pakistan.gov.pk/","472","","parser","High","Low","","2113","0","0","-1","-1","100","-1","-1","37","-1","-1","-1","-1","","","","","167480","104427","0","","","8035","","","","","8081","","","11179","8076","11152","11152","11179","27","8076","11179","3103","12","13","","","","","1","0","","7","100","","","","","",
"3","230330_A8_CS","19065.24","127.0.0.1","https://pakistan.gov.pk/img/pak-gov-defence.jpg","1","GET","pakistan.gov.pk","/img/pak-gov-defence.jpg","19065.24","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Image","4020","4002","8077","8076.654","205239","205239","205239","","","image/jpeg","","49","http/1.1","-1","-1","-1","-1","-1","-1","https://pakistan.gov.pk/","472","","parser","High","Low","","2128","0","0","-1","-1","100","-1","-1","30","-1","-1","-1","-1","","","","","205239","143178","0","","","8040","","","","","8081","","","12097","8077","12079","12079","12097","18","8077","12097","4020","13","14","","","","","1","0","","1","0","","","","","",
"3","230330_A8_CS","19065.25","127.0.0.1","https://pakistan.gov.pk/img/1.jpg","1","GET","pakistan.gov.pk","/img/1.jpg","19065.25","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Image","3302","3290","8077","8077.23","62677","62677","62677","","","image/jpeg","","65","http/1.1","-1","-1","-1","-1","-1","-1","https://pakistan.gov.pk/","472","","parser","High","Low","","2086","0","0","-1","-1","100","-1","-1","84","-1","-1","-1","-1","","","","","62677","9461","0","","","8045","","","","","8081","","","11379","8077","11367","11367","11379","12","8077","11379","3302","14","15","","","","","1","0","","1","0","","","","","",
"3","230330_A8_CS","19065.21","127.0.0.1","https://cabinet.gov.pk/SiteImage/Slider/floodbanner.jpg","1","GET","cabinet.gov.pk","/SiteImage/Slider/floodbanner.jpg","19065.21","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Image","3575","3537","8078","8077.788","88832","88832","88832","","","image/jpeg","","92","http/1.1","8007","8007","8057","8059","8060","8071","https://pakistan.gov.pk/","472","","parser","High","Low","","1822","0","0","-1","-1","100","-1","-1","100","-1","0","2","11","","","","","88832","0","0","","","8023","TLS 1.3","False","http/1.1","4865","8081","","","11653","8078","11615","11615","11653","38","8057","11653","3588","15","16","","","","","1","0","","7","100","","","","","",
"3","230330_A8_CS","19065.68","127.0.0.1","https://connect.facebook.net/en_GB/all.js","1","GET","connect.facebook.net","/en_GB/all.js","19065.68","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Script","549","512","8283","8282.676","1686","1686","3093","Thu, 30 Mar 2023 15:46:42 GMT","public,max-age=1200,stale-while-revalidate=3600","application/x-javascript","gzip","138","HTTP/2","8194","8194","8242","8247","8248","8270","https://pakistan.gov.pk/","921","53","script","Low","Low","","1774","0","100","100","-1","100","-1","-1","-1","-1","0","5","22","1686","0","","","","","1200","Facebook","","8233","TLS 1.3","False","h2","4865","8081","","","8832","8283","8795","8795","8832","37","8242","8832","576","16","17","15","2","","17","1","0","non_blocking","","","1","0","147","1","",
"3","230330_A8_CS","19065.69","127.0.0.1","https://platform.twitter.com/widgets.js","1","GET","platform.twitter.com","/widgets.js","19065.69","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Script","693","674","8292","8291.828","27630","27630","93239","","public, max-age=1800","application/javascript","gzip","144","http/1.1","8219","8219","8274","8280","8280","8288","https://pakistan.gov.pk/","946","287","script","Low","Low","","1660","0","100","100","-1","100","-1","-1","-1","-1","0","6","8","27630","0","","","","","421","Edgecast","","8252","TLS 1.3","False","http/1.1","4865","8081","","","8985","8292","8966","8966","8985","19","8274","8985","707","17","18","101","36","109","246","1","0","non_blocking","","","","","","","",
"3","230330_A8_CS","0616E815A7FD28AA9FC790DED2BDCDC5","127.0.0.1","https://staticxx.facebook.com/connect/xd_arbiter/r/XBwzv5Yrm_1.js?version=42","1","GET","staticxx.facebook.com","/connect/xd_arbiter/r/XBwzv5Yrm_1.js?version=42","0616E815A7FD28AA9FC790DED2BDCDC5","892E82C2D414C0D7209DA508C4BF6A1F","https://staticxx.facebook.com/connect/xd_arbiter/r/XBwzv5Yrm_1.js?version=42","404","Document","729","723","8311","8311.264","9","9","9","Sat, 01 Jan 2000 00:00:00 GMT","private, no-cache, no-store, must-revalidate","text/html","","138","HTTP/2","-1","-1","-1","-1","-1","-1","https://pakistan.gov.pk/","0","","parser","Highest","Highest","","2374","-1","100","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","","","","","","","","Facebook","","8309","","","","","","","","9040","8311","9034","9034","9040","6","8311","9040","729","18","19","","","","","1","0","","","","3","","","","",
"3","230330_A8_CS","571D624ACBA1DAE67AF1D2D68C461AD3","127.0.0.1","https://www.facebook.com/plugins/like_box.php?app_id=&channel=http%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter%2Fr%2FXBwzv5Yrm_1.js%3Fversion%3D42%23cb%3Df17e9f90a46dddc%26domain%3D202.83.164.138%26origin%3Dhttp%253A%252F%252F202.83.164.138%252Ff98bc654b66968%26relation%3Dparent.parent&container_width=0&header=false&height=490&href=https%3A%2F%2Fwww.facebook.com%2Fmoibnh%3Fskip_nax_wizard%3Dtrue&locale=en_GB&sdk=joey&show_faces=true&stream=true&width=260","1","GET","www.facebook.com","/plugins/like_box.php?app_id=&channel=http%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter%2Fr%2FXBwzv5Yrm_1.js%3Fversion%3D42%23cb%3Df17e9f90a46dddc%26domain%3D202.83.164.138%26origin%3Dhttp%253A%252F%252F202.83.164.138%252Ff98bc654b66968%26relation%3Dparent.parent&container_width=0&header=false&height=490&href=https%3A%2F%2Fwww.facebook.com%2Fmoibnh%3Fskip_nax_wizard%3Dtrue&locale=en_GB&sdk=joey&show_faces=true&stream=true&width=260","571D624ACBA1DAE67AF1D2D68C461AD3","C6481C0A36A94048E19865FF642868F9","https://www.facebook.com/plugins/like_box.php?app_id=&channel=http%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter%2Fr%2FXBwzv5Yrm_1.js%3Fversion%3D42%23cb%3Df17e9f90a46dddc%26domain%3D202.83.164.138%26origin%3Dhttp%253A%252F%252F202.83.164.138%252Ff98bc654b66968%26relation%3Dparent.parent&container_width=0&header=false&height=490&href=https%3A%2F%2Fwww.facebook.com%2Fmoibnh%3Fskip_nax_wizard%3Dtrue&locale=en_GB&sdk=joey&show_faces=true&stream=true&width=260","200","Document","862","822","8319","8318.907","9112","9112","22689","Sat, 01 Jan 2000 00:00:00 GMT","private, no-cache, no-store, must-revalidate","text/html","gzip","138","HTTP/2","-1","-1","-1","-1","-1","-1","https://pakistan.gov.pk/","0","","parser","Highest","Highest","","3547","-1","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","10596","0","","","","","","Facebook","","8317","","","","","","","","9181","8319","9141","9141","9181","40","8319","9181","862","19","20","","","","","1","0","","","","5","","","","",
