"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpuTime","run","cached","renderBlocking","cpu.FunctionCall","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","jpeg_scan_count","score_progressive_jpeg","initiator_function","http2_server_settings",
"3","230331_FJ_P","24629.16","127.0.0.1","https://www.agfp.gov.pk/css/demo-page-styles.css","1","GET","www.agfp.gov.pk","/css/demo-page-styles.css","24629.16","4C2161E1573696C0B5BE0BE38E4A0108","https://www.agfp.gov.pk/Gallery","200","Stylesheet","251","245","5396","5396.272","387","387","387","","","text/css","","45","http/1.1","-1","-1","-1","-1","-1","-1","https://www.agfp.gov.pk/Gallery","111","","parser","Highest","Highest","","2278","0","0","-1","-1","100","-1","-1","-1","-1","-1","-1","-1","","","","","","","0","","","3175","","","","","8081","","","5647","5396","5641","5641","5647","6","5396","5647","251","13","14","","","","1","0","blocking","","","","","","","","","",
"3","230331_FJ_P","24629.17","127.0.0.1","https://www.agfp.gov.pk/css/breaking-news-ticker.css","1","GET","www.agfp.gov.pk","/css/breaking-news-ticker.css","24629.17","4C2161E1573696C0B5BE0BE38E4A0108","https://www.agfp.gov.pk/Gallery","200","Stylesheet","251","237","5426","5426.192","5827","5827","5827","","","text/css","","23","http/1.1","-1","-1","-1","-1","-1","-1","https://www.agfp.gov.pk/Gallery","112","","parser","Highest","Highest","","2290","0","0","23","-1","100","-1","-1","-1","-1","-1","-1","-1","5827","4461","","","","","0","","","3176","","","","","8081","","","5677","5426","5663","5663","5677","14","5426","5677","251","14","15","","","","1","0","blocking","","","","","","","","","",
"3","230331_FJ_P","24629.18","127.0.0.1","https://www.agfp.gov.pk/css/updated_style.css","1","GET","www.agfp.gov.pk","/css/updated_style.css","24629.18","4C2161E1573696C0B5BE0BE38E4A0108","https://www.agfp.gov.pk/Gallery","200","Stylesheet","265","258","5515","5514.589","1864","1864","1864","","","text/css","","25","http/1.1","-1","-1","-1","-1","-1","-1","https://www.agfp.gov.pk/Gallery","115","","parser","Highest","Highest","","2269","0","0","-1","-1","100","-1","-1","-1","-1","-1","-1","-1","","","","","","","0","","","3177","","","","","8081","","","5780","5515","5773","5773","5780","7","5515","5780","265","15","16","","","","1","0","blocking","","","","","","","","","",
"3","230331_FJ_P","24629.19","127.0.0.1","https://www.agfp.gov.pk/js/jquery-2.2.4.min.js","1","GET","www.agfp.gov.pk","/js/jquery-2.2.4.min.js","24629.19","4C2161E1573696C0B5BE0BE38E4A0108","https://www.agfp.gov.pk/Gallery","200","Script","804","765","5669","5668.962","85578","85578","85578","","","application/javascript","","55","http/1.1","-1","-1","-1","-1","-1","-1","https://www.agfp.gov.pk/Gallery","118","","parser","High","High","","2230","0","0","34","-1","100","-1","-1","-1","-1","-1","-1","-1","85578","55748","","","","","0","","","3179","","","","","8081","","","6473","5669","6434","6434","6473","39","5669","6473","804","16","17","91","36","256","1","0","blocking","129","","","","","","","","",
"3","230331_FJ_P","24629.20","127.0.0.1","https://www.agfp.gov.pk/js/jquery-ui.min.js","1","GET","www.agfp.gov.pk","/js/jquery-ui.min.js","24629.20","4C2161E1573696C0B5BE0BE38E4A0108","https://www.agfp.gov.pk/Gallery","200","Script","1769","1747","5674","5673.729","240422","240422","240422","","","application/javascript","","45","http/1.1","-1","-1","-1","-1","-1","-1","https://www.agfp.gov.pk/Gallery","119","","parser","High","High","","2221","0","0","26","-1","100","-1","-1","-1","-1","-1","-1","-1","240422","176758","","","","","0","","","3180","","","","","8081","","","7443","5674","7421","7421","7443","22","5674","7443","1769","17","18","207","90","296","1","0","blocking","","","","","","","","","",
"3","230331_FJ_P","24629.21","127.0.0.1","https://www.agfp.gov.pk/js/bootstrap.min.js","1","GET","www.agfp.gov.pk","/js/bootstrap.min.js","24629.21","4C2161E1573696C0B5BE0BE38E4A0108","https://www.agfp.gov.pk/Gallery","200","Script","500","484","5681","5681.456","36868","36868","36868","","","application/javascript","","23","http/1.1","-1","-1","-1","-1","-1","-1","https://www.agfp.gov.pk/Gallery","120","","parser","High","High","","2221","0","0","26","-1","100","-1","-1","-1","-1","-1","-1","-1","36868","27111","","","","","0","","","3181","","","","","8081","","","6181","5681","6165","6165","6181","16","5681","6181","500","18","19","24","10","34","1","0","blocking","","","","","","","","","",
"3","230331_FJ_P","24629.22","127.0.0.1","https://www.agfp.gov.pk/Scripts/datatables.min.js","1","GET","www.agfp.gov.pk","/Scripts/datatables.min.js","24629.22","4C2161E1573696C0B5BE0BE38E4A0108","https://www.agfp.gov.pk/Gallery","200","Script","836","795","5788","5787.933","84932","84932","84932","","","application/javascript","","25","http/1.1","-1","-1","-1","-1","-1","-1","https://www.agfp.gov.pk/Gallery","121","","parser","High","High","","2239","0","0","34","-1","100","-1","-1","-1","-1","-1","-1","-1","84932","56026","","","","","0","","","3182","","","","","8081","","","6624","5788","6583","6583","6624","41","5788","6624","836","19","20","38","24","61","1","0","blocking","","","","","","","","","",
"3","230331_FJ_P","24629.23","127.0.0.1","https://www.agfp.gov.pk/Scripts/jquery.unobtrusive-ajax.min.js","1","GET","www.agfp.gov.pk","/Scripts/jquery.unobtrusive-ajax.min.js","24629.23","4C2161E1573696C0B5BE0BE38E4A0108","https://www.agfp.gov.pk/Gallery","200","Script","626","620","5913","5912.505","4061","4061","4061","","","application/javascript","","91","http/1.1","-1","-1","-1","-1","-1","-1","https://www.agfp.gov.pk/Gallery","122","","parser","High","High","","2278","0","0","44","-1","100","-1","-1","-1","-1","-1","-1","-1","4061","2257","","","","","0","","","3184","","","","","8081","","","6539","5913","6533","6533","6539","6","5913","6539","626","20","21","2","1","3","1","0","blocking","","","","","","","","","",
"3","230331_FJ_P","24629.51","127.0.0.1","https://fonts.googleapis.com/css?family=Open+Sans:400,300,600,700,800|family=Raleway:400,200,300,500,600,700,800,900|family=Titillium+Web:400,200,300,600,700,900","1","GET","fonts.googleapis.com","/css?family=Open+Sans:400,300,600,700,800|family=Raleway:400,200,300,500,600,700,800,900|family=Titillium+Web:400,200,300,600,700,900","24629.51","4C2161E1573696C0B5BE0BE38E4A0108","https://www.agfp.gov.pk/Gallery","200","Stylesheet","390","382","5960","5960.081","769","769","13415","Fri, 31 Mar 2023 01:00:04 GMT","private, max-age=86400, stale-while-revalidate=604800","text/css","gzip","159","HTTP/2","5894","5895","5947","5948","5948","5957","https://www.agfp.gov.pk/css/style-main.css","","","parser","Highest","Highest","","2065","50","100","100","-1","100","-1","-1","-1","-1","1","1","9","769","0","","","","","86400","Google","","5942","TLS 1.3","False","h2","4865","8081","","","6350","5960","6342","6342","6350","8","5894","6350","401","21","22","","","","1","0","blocking","","1","0","256","1","","","","Array",
"3","230331_FJ_P","24629.46","127.0.0.1","https://www.agfp.gov.pk/css/font-awesome.min.css","1","GET","www.agfp.gov.pk","/css/font-awesome.min.css","24629.46","4C2161E1573696C0B5BE0BE38E4A0108","https://www.agfp.gov.pk/Gallery","200","Stylesheet","585","573","6187","6187.157","27494","27494","27494","","","text/css","","23","http/1.1","-1","-1","-1","-1","-1","-1","https://www.agfp.gov.pk/css/style-main.css","","","parser","Highest","Highest","","2278","0","0","22","-1","100","-1","-1","-1","-1","-1","-1","-1","27494","21308","","","","","0","","","5923","","","","","8081","","","6772","6187","6760","6760","6772","12","6187","6772","585","22","23","","","","1","0","blocking","","","","","","","","","",
