"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpuTime","run","cached","renderBlocking","cpu.FunctionCall","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","jpeg_scan_count","score_progressive_jpeg","initiator_function",
"3","230330_87_9H","31752.15","127.0.0.1","http://www.moib.gov.pk/js/revolution-slider/css/navigation.css","0","GET","www.moib.gov.pk","/js/revolution-slider/css/navigation.css","31752.15","33918261C8AEF93C19F4205FDDFBFE87","http://www.moib.gov.pk/","404","Stylesheet","347","341","3639","3639.221","103","103","103","","","text/html","","45","http/1.1","-1","-1","-1","-1","-1","-1","http://www.moib.gov.pk/","112","","parser","Highest","Highest","","1450","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","","","","","","","","","","2276","8080","","","3986","3639","3980","3980","3986","6","3639","3986","347","12","13","","","","1","0","blocking","","","","","","","","","","","","",
"3","230330_87_9H","31752.16","127.0.0.1","http://www.moib.gov.pk/css/demo-page-styles.css","0","GET","www.moib.gov.pk","/css/demo-page-styles.css","31752.16","33918261C8AEF93C19F4205FDDFBFE87","http://www.moib.gov.pk/","200","Stylesheet","347","344","3665","3664.528","387","387","387","","","text/css","","61","http/1.1","-1","-1","-1","-1","-1","-1","http://www.moib.gov.pk/","114","","parser","Highest","Highest","","1405","0","0","-1","-1","100","-1","-1","-1","-1","-1","-1","-1","","","","","","","0","","","2277","8080","","","4012","3665","4009","4009","4012","3","3665","4012","347","13","14","","","","1","0","blocking","","","","","","","","","","","","",
"3","230330_87_9H","31752.17","127.0.0.1","http://www.moib.gov.pk/css/breaking-news-ticker.css","0","GET","www.moib.gov.pk","/css/breaking-news-ticker.css","31752.17","33918261C8AEF93C19F4205FDDFBFE87","http://www.moib.gov.pk/","200","Stylesheet","370","344","3732","3731.636","5827","5827","5827","","","text/css","","23","http/1.1","-1","-1","-1","-1","-1","-1","http://www.moib.gov.pk/","115","","parser","Highest","Highest","","1417","0","0","23","-1","100","-1","-1","-1","-1","-1","-1","-1","5827","4461","","","","","0","","","2278","8080","","","4102","3732","4076","4076","4102","26","3732","4102","370","14","15","","","","1","0","blocking","","","","","","","","","","","","",
"3","230330_87_9H","31752.18","127.0.0.1","http://www.moib.gov.pk/js/jquery-2.2.4.min.js","0","GET","www.moib.gov.pk","/js/jquery-2.2.4.min.js","31752.18","33918261C8AEF93C19F4205FDDFBFE87","http://www.moib.gov.pk/","200","Script","932","911","3872","3872.01","85578","85578","85578","","","application/javascript","","25","http/1.1","-1","-1","-1","-1","-1","-1","http://www.moib.gov.pk/","118","","parser","High","High","","1354","0","0","34","-1","100","-1","-1","-1","-1","-1","-1","-1","85578","55748","","","","","0","","","2279","8080","","","4804","3872","4783","4783","4804","21","3872","4804","932","15","16","76","29","214","1","0","blocking","109","","","","","","","","","","","",
"3","230330_87_9H","31752.19","127.0.0.1","http://www.moib.gov.pk/js/jquery-ui.min.js","0","GET","www.moib.gov.pk","/js/jquery-ui.min.js","31752.19","33918261C8AEF93C19F4205FDDFBFE87","http://www.moib.gov.pk/","200","Script","1347","1326","3995","3994.598","240422","240422","240422","","","application/javascript","","45","http/1.1","-1","-1","-1","-1","-1","-1","http://www.moib.gov.pk/","119","","parser","High","High","","1345","0","0","26","-1","100","-1","-1","-1","-1","-1","-1","-1","240422","176758","","","","","0","","","2281","8080","","","5342","3995","5321","5321","5342","21","3995","5342","1347","16","17","188","77","265","1","0","blocking","","","","","","","","","","","","",
"3","230330_87_9H","31752.20","127.0.0.1","http://www.moib.gov.pk/js/bootstrap.min.js","0","GET","www.moib.gov.pk","/js/bootstrap.min.js","31752.20","33918261C8AEF93C19F4205FDDFBFE87","http://www.moib.gov.pk/","200","Script","411","406","4017","4017.092","36868","36868","36868","","","application/javascript","","61","http/1.1","-1","-1","-1","-1","-1","-1","http://www.moib.gov.pk/","120","","parser","High","High","","1345","0","0","26","-1","100","-1","-1","-1","-1","-1","-1","-1","36868","27111","","","","","0","","","2285","8080","","","4428","4017","4423","4423","4428","5","4017","4428","411","17","18","22","9","31","1","0","blocking","","","","","","","","","","","","",
"3","230330_87_9H","31752.21","127.0.0.1","http://www.moib.gov.pk/js/jquery-plugin-collection.js","0","GET","www.moib.gov.pk","/js/jquery-plugin-collection.js","31752.21","33918261C8AEF93C19F4205FDDFBFE87","http://www.moib.gov.pk/","200","Script","3029","2971","4116","4116.145","805052","805052","805052","","","application/javascript","","23","http/1.1","-1","-1","-1","-1","-1","-1","http://www.moib.gov.pk/","122","","parser","High","High","","1378","0","0","27","-1","100","-1","-1","-1","-1","-1","-1","-1","805052","585354","","","","","0","","","2286","8080","","","7145","4116","7087","7087","7145","58","4116","7145","3029","18","19","635","261","964","1","0","blocking","68","","","","","","","","","","","",
"3","230330_87_9H","31752.37","127.0.0.1","http://www.moib.gov.pk/js/custom.js","0","GET","www.moib.gov.pk","/js/custom.js","31752.37","33918261C8AEF93C19F4205FDDFBFE87","http://www.moib.gov.pk/","200","Script","561","547","4127","4126.884","71148","71148","71148","","","application/javascript","","81","http/1.1","-1","-1","-1","-1","-1","-1","http://www.moib.gov.pk/","1006","","parser","High","High","","1324","0","0","17","-1","100","-1","-1","-1","-1","-1","-1","-1","71148","59033","","","","","0","","","2290","8080","","","4688","4127","4674","4674","4688","14","4127","4688","561","19","20","34","20","267","1","0","in_body_parser_blocking","213","","","","","","","","","","","",
"3","230330_87_9H","31752.44","127.0.0.1","https://fonts.googleapis.com/css?family=Open+Sans:400,300,600,700,800|family=Raleway:400,200,300,500,600,700,800,900|family=Titillium+Web:400,200,300,600,700,900","1","GET","fonts.googleapis.com","/css?family=Open+Sans:400,300,600,700,800|family=Raleway:400,200,300,500,600,700,800,900|family=Titillium+Web:400,200,300,600,700,900","31752.44","33918261C8AEF93C19F4205FDDFBFE87","http://www.moib.gov.pk/","200","Stylesheet","1180","1176","4176","4176.49","772","772","13455","Thu, 30 Mar 2023 13:54:21 GMT","private, max-age=86400, stale-while-revalidate=604800","text/css","gzip","143","HTTP/2","4103","4103","4164","4165","4165","4173","http://www.moib.gov.pk/css/style-main.css","","","parser","Highest","Highest","","2173","50","100","100","-1","100","-1","-1","-1","-1","0","1","8","772","0","","","","","86400","Google","","4159","8081","","","5356","4176","5352","5352","5356","4","4164","5356","1189","20","21","","","","1","0","blocking","","1","0","256","1","TLS 1.3","False","h2","4865","","","",
"3","230330_87_9H","31752.39","127.0.0.1","http://www.moib.gov.pk/css/font-awesome.min.css","0","GET","www.moib.gov.pk","/css/font-awesome.min.css","31752.39","33918261C8AEF93C19F4205FDDFBFE87","http://www.moib.gov.pk/","200","Stylesheet","603","584","4326","4325.509","27494","27494","27494","","","text/css","","55","http/1.1","-1","-1","-1","-1","-1","-1","http://www.moib.gov.pk/css/style-main.css","","","parser","Highest","Highest","","1459","0","0","22","-1","100","-1","-1","-1","-1","-1","-1","-1","27494","21308","","","","","0","","","4141","8080","","","4929","4326","4910","4910","4929","19","4326","4929","603","21","22","","","","1","0","blocking","","","","","","","","","","","","",
