"loadTime","docTime","fullyLoaded","bytesOut","bytesOutDoc","bytesIn","bytesInDoc","requests","requestsFull","requestsDoc","responses_200","responses_404","responses_other","result","testStartOffset","cached","optimization_checked","main_frame","loadEventStart","loadEventEnd","domContentLoadedEventStart","domContentLoadedEventEnd","URL","connections","final_base_page_request","final_base_page_request_id","final_url","firstPaint","firstContentfulPaint","domInteractive","firstMeaningfulPaint","firstImagePaint","renderBlockingCSS","renderBlockingJS","TTFB","basePageSSLTime","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","score_progressive_jpeg","gzip_total","gzip_savings","minify_total","minify_savings","image_total","image_savings","base_page_cdn","cpu.ParseHTML","cpu.EventDispatch","cpu.CommitLoad","cpu.UpdateLayoutTree","cpu.EvaluateScript","cpu.v8.compile","cpu.ResourceFetcher::requestResource","cpu.Layout","cpu.MinorGC","cpu.V8.GC_HEAP_PROLOGUE","cpu.V8.GC_HEAP_EXTERNAL_PROLOGUE","cpu.V8.GC_SCAVENGER_COMPLETE_SWEEP_ARRAY_BUFFERS","cpu.V8.GC_SCAVENGER","cpu.V8.GC_TIME_TO_SAFEPOINT","cpu.V8.GC_HEAP_PROLOGUE_SAFEPOINT","cpu.V8.GC_SCAVENGER_SCAVENGE","cpu.V8.GC_SCAVENGER_SCAVENGE_WEAK_GLOBAL_HANDLES_IDENTIFY","cpu.V8.GC_SCAVENGER_SCAVENGE_ROOTS","cpu.V8.GC_SCAVENGER_SCAVENGE_PARALLEL","cpu.V8.GC_SCAVENGER_SCAVENGE_WEAK_GLOBAL_HANDLES_PROCESS","cpu.V8.GC_SCAVENGER_SCAVENGE_FINALIZE","cpu.V8.GC_SCAVENGER_SCAVENGE_UPDATE_REFS","cpu.V8.GC_SCAVENGER_FREE_REMEMBERED_SET","cpu.V8.GC_SCAVENGER_SWEEP_ARRAY_BUFFERS","cpu.V8.GC_HEAP_EXTERNAL_WEAK_GLOBAL_HANDLES","cpu.V8.GC_HEAP_EPILOGUE_SAFEPOINT","cpu.V8.GC_HEAP_EPILOGUE_REDUCE_NEW_SPACE","cpu.V8.GC_HEAP_EXTERNAL_EPILOGUE","cpu.V8.GC_HEAP_EPILOGUE","cpu.FunctionCall","cpu.TimerFire","cpu.MajorGC","cpu.V8.GC_MC_COMPLETE_SWEEPING","cpu.V8.GC_MC_COMPLETE_SWEEP_ARRAY_BUFFERS","cpu.V8.GC_MARK_COMPACTOR","cpu.V8.GC_MC_MARK_EMBEDDER_PROLOGUE","cpu.BlinkGC.IncrementalMarkingStartMarking","cpu.BlinkGC.VisitRoots","cpu.V8.GC_MC_PROLOGUE","cpu.V8.GC_MC_MARK","cpu.V8.GC_MC_MARK_FINISH_INCREMENTAL","cpu.BlinkGC.AtomicPauseMarkPrologue","cpu.BlinkGC.AtomicPauseMarkRoots","cpu.V8.GC_MC_MARK_ROOTS","cpu.V8.GC_MC_MARK_MAIN","cpu.V8.GC_MC_MARK_WEAK_CLOSURE","cpu.V8.GC_MC_MARK_EMBEDDER_TRACING_CLOSURE","cpu.V8.GC_MC_MARK_EMBEDDER_TRACING","cpu.BlinkGC.AtomicPauseMarkTransitiveClosure","cpu.BlinkGC.IncrementalMarkingWithDeadline","cpu.BlinkGC.MarkFlushEphemeronPairs","cpu.BlinkGC.MarkProcessWorklists","cpu.BlinkGC.MarkBailOutObjects","cpu.BlinkGC.MarkFlushV8References","cpu.BlinkGC.MarkProcessNotFullyconstructeddWorklist","cpu.BlinkGC.MarkProcessMarkingWorklist","cpu.BlinkGC.MarkProcessWriteBarrierWorklist","cpu.BlinkGC.MarkInvokeEphemeronCallbacks","cpu.V8.GC_MC_MARK_WEAK_CLOSURE_EPHEMERON","cpu.V8.GC_MC_MARK_WEAK_CLOSURE_EPHEMERON_MARKING","cpu.V8.GC_MC_MARK_WEAK_CLOSURE_WEAK_HANDLES","cpu.V8.GC_MC_MARK_WEAK_CLOSURE_WEAK_ROOTS","cpu.V8.GC_MC_MARK_WEAK_CLOSURE_HARMONY","cpu.V8.GC_MC_CLEAR","cpu.V8.GC_MC_CLEAR_STRING_TABLE","cpu.V8.GC_MC_CLEAR_FLUSHABLE_BYTECODE","cpu.V8.GC_MC_CLEAR_FLUSHED_JS_FUNCTIONS","cpu.V8.GC_MC_CLEAR_WEAK_LISTS","cpu.V8.GC_MC_CLEAR_MAPS","cpu.V8.GC_MC_CLEAR_WEAK_REFERENCES","cpu.V8.GC_MC_CLEAR_WEAK_COLLECTIONS","cpu.V8.GC_MC_SWEEP","cpu.V8.GC_MC_EVACUATE","cpu.V8.GC_MC_EVACUATE_PROLOGUE","cpu.V8.GC_MC_EVACUATE_COPY","cpu.V8.GC_MC_EVACUATE_COPY_PARALLEL","cpu.V8.GC_MC_EVACUATE_UPDATE_POINTERS","cpu.V8.GC_MC_EVACUATE_UPDATE_POINTERS_TO_NEW_ROOTS","cpu.V8.GC_MC_EVACUATE_UPDATE_POINTERS_SLOTS_MAIN","cpu.V8.GC_MC_EVACUATE_UPDATE_POINTERS_PARALLEL","cpu.V8.GC_MC_EVACUATE_UPDATE_POINTERS_WEAK","cpu.V8.GC_MC_EVACUATE_REBALANCE","cpu.V8.GC_MC_EVACUATE_CLEAN_UP","cpu.V8.GC_MC_EVACUATE_EPILOGUE","cpu.V8.GC_MC_FINISH","cpu.V8.GC_MC_FINISH_SWEEP_ARRAY_BUFFERS","cpu.V8.GC_MC_EPILOGUE","cpu.V8.GC_HEAP_EMBEDDER_TRACING_EPILOGUE","cpu.BlinkGC.AtomicPauseMarkEpilogue","cpu.BlinkGC.AtomicPauseSweepAndCompact","cpu.BlinkGC.LazySweepOnAllocation","cpu.V8.GC_MC_INCREMENTAL_START","cpu.V8.GC_MC_INCREMENTAL_EXTERNAL_PROLOGUE","cpu.V8.GC_MC_INCREMENTAL_EMBEDDER_PROLOGUE","cpu.BlinkGC.CompleteSweep","cpu.V8.GC_MC_INCREMENTAL_EXTERNAL_EPILOGUE","cpu.V8.GC_MC_INCREMENTAL","cpu.V8.GC_MC_INCREMENTAL_EMBEDDER_TRACING","cpu.BlinkGC.UnifiedMarkingStep","cpu.V8.GC_MC_INCREMENTAL_FINALIZE","cpu.V8.GC_MC_INCREMENTAL_FINALIZE_BODY","cpu.MarkDOMContent","cpu.MarkLoad","cpu.UpdateLayerTree","cpu.IntersectionObserverController::computeIntersections","cpu.Paint","cpu.ResourceChangePriority","cpu.Idle","tester","start_epoch","osVersion","os_version","browserVersion","browser_version","date","document_URL","document_hostname","document_origin","domElements","domComplete","PerformancePaintTiming.first-paint","PerformancePaintTiming.first-contentful-paint","base_page_ip_ptr","base_page_cname","base_page_dns_server","browser_name","eventName","test_run_time_ms","testUrl","lastVisualChange","render","visualComplete85","visualComplete90","visualComplete95","visualComplete99","visualComplete","SpeedIndex","LargestContentfulPaintType","LargestContentfulPaintNodeType","LargestContentfulPaintImageURL","chromeUserTiming.navigationStart","chromeUserTiming.fetchStart","chromeUserTiming.responseEnd","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.commitNavigationEnd","chromeUserTiming.domLoading","chromeUserTiming.firstPaint","chromeUserTiming.firstContentfulPaint","chromeUserTiming.firstMeaningfulPaintCandidate","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.firstMeaningfulPaint","chromeUserTiming.firstImagePaint","chromeUserTiming.LayoutShift","chromeUserTiming.InteractiveTime","chromeUserTiming.domComplete","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","chromeUserTiming.LargestTextPaint","chromeUserTiming.LargestContentfulPaint","chromeUserTiming.LargestImagePaint","chromeUserTiming.TotalLayoutShift","chromeUserTiming.CumulativeLayoutShift","maxFID","TTIMeasurementEnd","LastInteractive","TotalBlockingTime","testID","run","step","effectiveBps","domTime","aft","titleTime","domLoading","server_rtt","edge-processed","effectiveBpsDoc","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id","cpu.ParseAuthorStyleSheet","cpu.FireAnimationFrame","cpu.largestContentfulPaint::Candidate","cpu.HitTest","cpu.BlinkGC.IncrementalMarkingStep","cpu.BlinkGC.LazySweepInIdle","FirstInteractive","TimeToInteractive","FirstCPUIdle",
"18154","18154","22234","252257","136079","4151254","2932809","110","110","62","104","5","1","0","0","0","1","527B605B508CD2AA7AAE6B89C8FDD54B","18154","18249","8241","8259","https://pakistan.gov.pk/","20","0","95F8D7F53628A71ADFA90830F4D3EEAD","https://pakistan.gov.pk/","8051.200000003","8051","8241","8355","8531","6","21","5025","1974","67","72","90","-1","100","-1","-1","70","-1","76","1324105","139681","-1","-1","2822435","856341","","16","29","1","122","2008","42","119","394","1","0","0","0","0","0","0","0","0","0","103","0","0","0","0","0","0","0","0","0","0","2289","16","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","11","0","0","0","0","0","0","0","0","0","103","7","38","0","16913","mukeet-ThinkPad-T490-192.168.0.112","1680190156.2362","","","92.0.4515.131","92.0.4515.131","1680190173.1235","https://pakistan.gov.pk/","pakistan.gov.pk","https://pakistan.gov.pk","464","18154","8051.200000003","8051.200000003","175-107-60-232.reverse.ntc.net.pk","","ns3.rapidcompute.com","android - chrome","Step_1","37966","https://pakistan.gov.pk/","20412","8053","12759","19616","20397","20412","20412","11282","image","IMG","https://cabinet.gov.pk/SiteImage/Slider/floodbanner.jpg","0","40","5073","5111","5111","5114","5116","8051","8051","8051","8241","8241","8259","8354","8531","13079","13152","18154","18154","18249","8051","11790","11790","0.021057107896474","0.021057107896474","2048","25526","21408","5085","230330_A8_CS","1","1","241225","0","0","0","0","0","1","223384","217266","9","605769","1078206","44","3405890","28847","6","63743","2823119","48","2823638","0","0","0","0","0","0","0","0","0","2181","2","24956","230330_A8_CS","","","","","","","","","",
"13326","13326","16468","188556","135371","3713660","2892201","81","81","62","74","6","1","0","0","0","1","CEB10C336385D2EF57941B6572987F2C","13325","13413","4651","4670","https://pakistan.gov.pk/index.html","19","0","B2B52F9DBF8AA7C02E7A67ECFD02C5C4","https://pakistan.gov.pk/index.html","4478.6000000015","4479","4651","4745","4825","3","6","1679","14","55","62","87","-1","100","-1","-1","66","-1","73","1007705","139042","-1","-1","2699988","925490","","15","8","1","144","2176","43","167","435","0","0","0","0","1","0","1","0","0","1","134","0","0","0","1","0","0","0","0","0","0","2420","4","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","1","0","2","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","102","7","42","","10723","mukeet-ThinkPad-T490-192.168.0.112","1680190212.3071","","","92.0.4515.131","92.0.4515.131","1680190228.7939","https://pakistan.gov.pk/index.html","pakistan.gov.pk","https://pakistan.gov.pk","488","13325","4478.6000000015","4478.6000000015","175-107-60-232.reverse.ntc.net.pk","","ns5.ntc.net.pk","android - chrome","Step_1","36912","https://pakistan.gov.pk/index.html","15483","4480","7885","9522","15483","15483","15483","6726","image","IMG","https://pakistan.gov.pk/img/Untitledasdasda.jpg","0","47","1716","1763","1763","1767","1769","4478","4478","4478","4651","4652","4670","4744","4825","9459","13414","13325","13326","13413","4479","5874","5874","0.02100660006551","0.02100660006551","2056","19828","16148","4884","230330_8E_CT","1","1","251109","0","0","0","0","0","1","248321","195005","10","527795","792220","26","2472473","21947","3","37589","2700672","39","2701191","0","0","0","0","0","0","0","0","0","2181","2","24956","230330_8E_CT","","","","","","","","","",
"5394","5394","5762","41174","39007","390771","389136","20","20","19","18","2","0","0","0","0","1","FB48AE3D14278D0C6A3CAD2F28C1CC9A","5394","5395","3264","3353","https://pakistan.gov.pk/ministries_divisions.html","6","0","1C9974892CB65A2BC27B694440722D3C","https://pakistan.gov.pk/ministries_divisions.html","3494.6000000015","3495","3264","3495","3657","2","5","914","11","0","0","29","-1","100","-1","-1","77","-1","33","118039","84568","-1","-1","266880","61993","","12","1","0","31","34","41","37","60","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","13","","0","0","0","0","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","0","1","0","0","0","0","0","0","30","3","45","0","5424","mukeet-ThinkPad-T490-192.168.0.112","1680190267.962","","","92.0.4515.131","92.0.4515.131","1680190283.8203","https://pakistan.gov.pk/ministries_divisions.html","pakistan.gov.pk","https://pakistan.gov.pk","362","5394","3494.6000000015","3494.6000000015","175-107-60-232.reverse.ntc.net.pk","","ns.cyber.net.pk","android - chrome","Step_1","20308","https://pakistan.gov.pk/ministries_divisions.html","5443","3487","5443","5443","5443","5443","5443","3876","image","IMG","https://pakistan.gov.pk/images/main-page/1.jpg","0","39","952","1009","1009","1013","1014","3494","3494","3494","3264","3264","3353","3494","3656","","","5394","5394","5395","3495","5455","5455","0","0","0","8938","3487","0","230330_C4_CV","1","1","80604","0","0","0","0","0","1","86860","23542","2","23542","82397","5","82397","16317","2","16317","266880","10","266880","0","0","0","0","0","0","0","0","0","0","0","0","230330_C4_CV","3","0","0","1","0","3","3487","3487","3487",
"11034","11034","11034","77320","77320","4105075","4105075","37","37","37","36","0","1","0","0","0","1","DF7ED09483F7D89E36183207CD0366F5","11034","11061","3297","3301","https://pakistan.gov.pk/itpark.html","7","0","0C995B98A102049F01B6A903A205754F","https://pakistan.gov.pk/itpark.html","3018.299999997","3018","3297","3018","3405","5","0","676","11","0","3","25","-1","100","-1","-1","100","-1","-1","464987","351970","-1","-1","3640088","0","","8","3","0","22","105","106","87","58","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","35","1","1","0","0","0","","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","","0","3","0","0","0","0","0","0","27","28","50","0","10388","mukeet-ThinkPad-T490-192.168.0.112","1680190305.2166","","","92.0.4515.131","92.0.4515.131","1680190321.0373","https://pakistan.gov.pk/itpark.html","pakistan.gov.pk","https://pakistan.gov.pk","152","11033","3018.299999997","3018.299999997","175-107-60-232.reverse.ntc.net.pk","","ns3.rapidcompute.com","android - chrome","Step_1","26665","https://pakistan.gov.pk/itpark.html","12096","3033","8684","8684","11191","12096","12096","8560","background-image","DIV","https://pakistan.gov.pk/assets/img/slider-img.png","0","42","689","753","753","756","757","3018","3018","3018","3297","3297","3301","3018","3405","3356","","11033","11034","11061","3018","8678","8678","0.089760780345196","0.089760780345196","8","13984","3277","8","230330_GT_CW","1","1","396319","0","0","0","0","0","1","396319","14331","2","14331","250591","4","250591","200065","4","200065","3640088","27","3640088","0","0","0","0","0","0","0","0","0","0","0","0","230330_GT_CW","66","","0","5","0","4","3301","3277","3301",
