"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpu.FunctionCall","cpuTime","run","cached","renderBlocking","jpeg_scan_count","score_progressive_jpeg","initiator_function","http2_server_settings",
"3","230330_SD_ER","31938.99","127.0.0.1","https://www.piac.com.pk/templates/pia2/favicon/manifest.json","1","GET","www.piac.com.pk","/templates/pia2/favicon/manifest.json","31938.99","E4154A22EE18F5C6FBEFBE5BC0D45D65","https://www.piac.com.pk/faqs","200","Manifest","312","281","5330","5330.33","208","208","720","Thu, 30 Mar 2023 16:15:32 GMT","public, max-age=0,public","application/json","gzip","207","HTTP/2","5238","5238","5305","5310","5310","5321","","","","other","Medium","Medium","","1843","-1","100","100","-1","100","-1","-1","-1","-1","0","5","11","208","0","","","","","","Cloudflare","","5300","1","0","183","1","TLS 1.3","False","h2","4865","8081","","","5642","5330","5611","5611","5642","31","5305","5642","328","40","41","","","","","1","0","","","","","Array",
"3","230330_SD_ER","31938.100","127.0.0.1","https://www.piac.com.pk/templates/pia2/favicon/android-icon-192x192.png","1","GET","www.piac.com.pk","/templates/pia2/favicon/android-icon-192x192.png","31938.100","E4154A22EE18F5C6FBEFBE5BC0D45D65","https://www.piac.com.pk/faqs","200","Other","139","135","5376","5376.044","14342","14342","14342","Wed, 19 Apr 2023 05:57:50 GMT","public, max-age=2592000","image/png","","23","HTTP/2","-1","-1","-1","-1","-1","-1","","","","other","High","High","","2272","100","100","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","14342","0","1690938","Cloudflare","","5369","73","71","220","1","","","","","8081","","","5515","5376","5511","5511","5515","4","5376","5515","139","41","42","","","","","1","0","","","","","",
"3","230330_SD_ER","31938.101","127.0.0.1","https://www.piac.com.pk/templates/pia2/favicon/apple-icon-180x180.png","1","GET","www.piac.com.pk","/templates/pia2/favicon/apple-icon-180x180.png","31938.101","E4154A22EE18F5C6FBEFBE5BC0D45D65","https://www.piac.com.pk/faqs","200","Other","175","169","5379","5378.842","15355","15355","15355","Wed, 19 Apr 2023 05:57:50 GMT","public, max-age=2592000","image/png","","23","HTTP/2","-1","-1","-1","-1","-1","-1","","","","other","High","High","","2266","100","100","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","15355","0","1690938","Cloudflare","","5373","75","73","220","1","","","","","8081","","","5554","5379","5548","5548","5554","6","5379","5554","175","42","43","","","","","1","0","","","","","",
"3","230330_6K_ES","88B103754409E9D158F13AD58E1E941B","127.0.0.1","https://www.piac.com.pk/site-map","1","GET","www.piac.com.pk","/site-map","88B103754409E9D158F13AD58E1E941B","2727F89EB76D62450A9C21167A16C165","https://www.piac.com.pk/site-map","200","Document","273","262","83","82.725","8493","8493","37831","Wed, 17 Aug 2005 00:00:00 GMT","no-store, no-cache, must-revalidate, post-check=0, pre-check=0,public","text/html","gzip","23","HTTP/2","-1","-1","51","56","56","75","","","","script","Highest","Highest","","2137","-1","100","100","-1","100","-1","-1","-1","-1","-1","5","19","9507","0","","","","","","Cloudflare","","69","1","0","256","1","TLS 1.3","False","h2","4865","8081","1","1","356","83","345","345","356","11","51","356","297","0","1","55","4","6","66","1","0","","","","","Array",
"3","230330_6K_ES","32641.5","127.0.0.1","https://www.piac.com.pk/media/com_osmap/css/sitemap_html.min.css","1","GET","www.piac.com.pk","/media/com_osmap/css/sitemap_html.min.css","32641.5","2727F89EB76D62450A9C21167A16C165","https://www.piac.com.pk/site-map","200","Stylesheet","640","636","586","586.382","36","36","36","Fri, 29 Mar 2024 16:16:09 GMT","public, max-age=31536000","text/css","","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/site-map","107","","parser","Highest","Highest","","1912","100","100","-1","-1","100","-1","-1","-1","-1","-1","-1","-1","","","","","","","31536000","Cloudflare","","550","3","0","256","1","","","","","8081","","","1226","586","1222","1222","1226","4","586","1226","640","1","2","","","","","1","0","blocking","","","","",
"3","230330_6K_ES","32641.4","127.0.0.1","https://ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js","1","GET","ajax.googleapis.com","/ajax/libs/jquery/3.6.0/jquery.min.js","32641.4","2727F89EB76D62450A9C21167A16C165","https://www.piac.com.pk/site-map","200","Script","234","171","609","608.88","31017","31017","89501","Tue, 26 Mar 2024 23:20:10 GMT","public, max-age=31536000, stale-while-revalidate=2592000","text/javascript","gzip","36","HTTP/2","491","491","543","545","546","555","https://www.piac.com.pk/site-map","98","","parser","High","High","","1732","100","100","100","-1","100","-1","-1","-1","-1","0","2","9","31017","0","","","","","31302241","Google","","540","1","0","220","1","TLS 1.3","False","h2","4865","8081","","","843","609","780","780","843","63","543","843","245","2","3","74","33","42","150","1","0","blocking","","","","Array",
"3","230330_6K_ES","32641.6","127.0.0.1","https://www.piac.com.pk/templates/piasubpage/css/bootstrap.min.css?f3479f8edf906ba500bd918b491dff14","1","GET","www.piac.com.pk","/templates/piasubpage/css/bootstrap.min.css?f3479f8edf906ba500bd918b491dff14","32641.6","2727F89EB76D62450A9C21167A16C165","https://www.piac.com.pk/site-map","200","Stylesheet","197","178","610","610.001","19740","19740","121200","Tue, 19 Mar 2024 05:18:26 GMT","public, max-age=31536000","text/css","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/site-map","108","","parser","Highest","Highest","","2017","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","19740","0","","","","","30632537","Cloudflare","","570","5","3","256","1","","","","","8081","","","807","610","788","788","807","19","610","807","197","3","4","","","","","1","0","blocking","","","","",
"3","230330_6K_ES","32641.7","127.0.0.1","https://www.piac.com.pk/templates/piasubpage/css/styles.css?6","1","GET","www.piac.com.pk","/templates/piasubpage/css/styles.css?6","32641.7","2727F89EB76D62450A9C21167A16C165","https://www.piac.com.pk/site-map","200","Stylesheet","214","205","613","613.261","10599","10599","59059","Tue, 19 Mar 2024 05:18:26 GMT","public, max-age=31536000","text/css","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/site-map","109","","parser","Highest","Highest","","1903","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","10599","0","","","","","30632537","Cloudflare","","575","7","5","256","1","","","","","8081","","","827","613","818","818","827","9","613","827","214","4","5","","","","","1","0","blocking","","","","",
"3","230330_6K_ES","32641.8","127.0.0.1","https://www.piac.com.pk/templates/piasubpage/css/travelicon.css?f3479f8edf906ba500bd918b491dff14","1","GET","www.piac.com.pk","/templates/piasubpage/css/travelicon.css?f3479f8edf906ba500bd918b491dff14","32641.8","2727F89EB76D62450A9C21167A16C165","https://www.piac.com.pk/site-map","200","Stylesheet","248","236","615","614.666","5523","5523","33531","Tue, 19 Mar 2024 05:18:26 GMT","public, max-age=31536000","text/css","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/site-map","110","","parser","Highest","Highest","","2008","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","5523","0","","","","","30632537","Cloudflare","","578","9","7","256","1","","","","","8081","","","863","615","851","851","863","12","615","863","248","5","6","","","","","1","0","blocking","","","","",
"3","230330_6K_ES","32641.9","127.0.0.1","https://www.piac.com.pk/templates/piasubpage/css/select2.css?f3479f8edf906ba500bd918b491dff14","1","GET","www.piac.com.pk","/templates/piasubpage/css/select2.css?f3479f8edf906ba500bd918b491dff14","32641.9","2727F89EB76D62450A9C21167A16C165","https://www.piac.com.pk/site-map","200","Stylesheet","220","214","616","615.579","2202","2202","18184","Tue, 19 Mar 2024 05:18:26 GMT","public, max-age=31536000","text/css","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/site-map","111","","parser","Highest","Highest","","1999","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","2202","0","","","","","30632537","Cloudflare","","583","11","9","256","1","","","","","8081","","","836","616","830","830","836","6","616","836","220","6","7","","","","","1","0","blocking","","","","",
