"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpuTime","run","cached","renderBlocking","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","cpu.FunctionCall","http2_server_settings","jpeg_scan_count","score_progressive_jpeg","initiator_function",
"3","230330_9F_P1","12648.7","127.0.0.1","https://www.fpsc.gov.pk/modules/system/system.theme.css?rc4kj0","1","GET","www.fpsc.gov.pk","/modules/system/system.theme.css?rc4kj0","12648.7","6078094AC35980AADCDD3A43683E5B19","https://www.fpsc.gov.pk/tenders","200","Stylesheet","347","339","1783","1782.881","3711","3711","3711","Thu, 13 Apr 2023 19:37:54 GMT","max-age=1209600","text/css","","53","http/1.1","-1","-1","1685","1687","1688","1697","https://www.fpsc.gov.pk/tenders","85","","parser","Highest","Highest","","1747","100","0","33","-1","100","-1","-1","-1","-1","-1","2","9","3711","2479","","","","","1209600","","","1669","TLS 1.3","True","http/1.1","4865","8081","","","2130","1783","2122","2122","2130","8","1685","2130","358","4","5","","","","1","0","","","","","","","","","","",
"3","230330_9F_P1","12648.8","127.0.0.1","https://www.fpsc.gov.pk/sites/all/modules/jquery_update/replace/ui/themes/base/minified/jquery.ui.core.min.css?rc4kj0","1","GET","www.fpsc.gov.pk","/sites/all/modules/jquery_update/replace/ui/themes/base/minified/jquery.ui.core.min.css?rc4kj0","12648.8","6078094AC35980AADCDD3A43683E5B19","https://www.fpsc.gov.pk/tenders","200","Stylesheet","627","620","1790","1789.592","928","928","928","Thu, 13 Apr 2023 19:37:54 GMT","max-age=1209600","text/css","","65","http/1.1","-1","-1","1704","1705","1705","1712","https://www.fpsc.gov.pk/tenders","90","","parser","Highest","Highest","","1912","100","0","-1","-1","100","-1","-1","-1","-1","-1","1","7","","","","","","","1209600","","","1677","TLS 1.3","True","http/1.1","4865","8081","","","2417","1790","2410","2410","2417","7","1704","2417","635","5","6","","","","1","0","","","","","","","","","","",
"3","230330_9F_P1","12648.9","127.0.0.1","https://www.fpsc.gov.pk/sites/all/modules/jquery_update/replace/ui/themes/base/minified/jquery.ui.theme.min.css?rc4kj0","1","GET","www.fpsc.gov.pk","/sites/all/modules/jquery_update/replace/ui/themes/base/minified/jquery.ui.theme.min.css?rc4kj0","12648.9","6078094AC35980AADCDD3A43683E5B19","https://www.fpsc.gov.pk/tenders","200","Stylesheet","860","844","1795","1794.68","13658","13658","13658","Thu, 13 Apr 2023 19:37:54 GMT","max-age=1209600","text/css","","91","http/1.1","-1","-1","1724","1725","1725","1730","https://www.fpsc.gov.pk/tenders","90","","parser","Highest","Highest","","1915","100","0","16","-1","100","-1","-1","-1","-1","-1","1","5","13658","11403","","","","","1209600","","","1681","TLS 1.3","True","http/1.1","4865","8081","","","2655","1795","2639","2639","2655","16","1724","2655","866","6","7","","","","1","0","","","","","","","","","","",
"3","230330_9F_P1","12648.26","127.0.0.1","https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.4.0/css/font-awesome.min.css","1","GET","cdnjs.cloudflare.com","/ajax/libs/font-awesome/4.4.0/css/font-awesome.min.css","12648.26","6078094AC35980AADCDD3A43683E5B19","https://www.fpsc.gov.pk/tenders","200","Stylesheet","108","98","1796","1796.02","5936","5936","26711","Tue, 19 Mar 2024 20:53:23 GMT","public, max-age=30672000","text/css","gzip","183","HTTP/2","1685","1686","1775","1776","1776","1781","https://www.fpsc.gov.pk/tenders","110","","parser","Highest","Highest","","1939","100","100","100","-1","100","-1","-1","-1","-1","1","1","5","5936","0","","","","","30000440","Cloudflare","","1728","TLS 1.3","False","h2","4865","8081","","","1904","1796","1894","1894","1904","10","1685","1904","115","7","8","","","","1","0","blocking","1","0","256","1","","Array","","","",
"3","230330_9F_P1","12648.50","127.0.0.1","http://servant.indexisto.com/files/searchbox/searchbox.nocache.js?type=edit","0","GET","servant.indexisto.com","/files/searchbox/searchbox.nocache.js?type=edit","12648.50","6078094AC35980AADCDD3A43683E5B19","https://www.fpsc.gov.pk/tenders","500","Script","455","455","1796","1796.408","0","0","","","","","","233","http/1.1","1696","1696","1791","1792","-1","-1","https://www.fpsc.gov.pk/tenders","151","","parser","High","High","","982","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","1","-1","","","","","","","","","","1769","","","","","8080","","","2251","1796","2251","2251","2251","0","1791","2251","456","8","9","","","","1","0","blocking","","","","","","","","","",
"3","230330_9F_P1","12648.10","127.0.0.1","https://www.fpsc.gov.pk/sites/all/modules/jquery_update/replace/ui/themes/base/minified/jquery.ui.accordion.min.css?rc4kj0","1","GET","www.fpsc.gov.pk","/sites/all/modules/jquery_update/replace/ui/themes/base/minified/jquery.ui.accordion.min.css?rc4kj0","12648.10","6078094AC35980AADCDD3A43683E5B19","https://www.fpsc.gov.pk/tenders","200","Stylesheet","706","699","1930","1929.8","651","651","651","Thu, 13 Apr 2023 19:37:54 GMT","max-age=1209600","text/css","","25","http/1.1","-1","-1","-1","-1","-1","-1","https://www.fpsc.gov.pk/tenders","90","","parser","Highest","Highest","","1927","100","0","-1","-1","100","-1","-1","-1","-1","-1","-1","-1","","","","","","","1209600","","","1692","","","","","8081","","","2636","1930","2629","2629","2636","7","1930","2636","706","9","10","","","","1","0","","","","","","","","","","",
"3","230330_9F_P1","12648.11","127.0.0.1","https://www.fpsc.gov.pk/modules/comment/comment.css?rc4kj0","1","GET","www.fpsc.gov.pk","/modules/comment/comment.css?rc4kj0","12648.11","6078094AC35980AADCDD3A43683E5B19","https://www.fpsc.gov.pk/tenders","200","Stylesheet","849","842","1932","1932.147","184","184","184","Thu, 13 Apr 2023 19:37:55 GMT","max-age=1209600","text/css","","23","http/1.1","-1","-1","-1","-1","-1","-1","https://www.fpsc.gov.pk/tenders","102","","parser","Highest","Highest","","1735","100","0","-1","-1","100","-1","-1","-1","-1","-1","-1","-1","","","","","","","1209600","","","1699","","","","","8081","","","2781","1932","2774","2774","2781","7","1932","2781","849","10","11","","","","1","0","","","","","","","","","","",
"3","230330_9F_P1","12648.12","127.0.0.1","https://www.fpsc.gov.pk/sites/all/modules/date/date_api/date.css?rc4kj0","1","GET","www.fpsc.gov.pk","/sites/all/modules/date/date_api/date.css?rc4kj0","12648.12","6078094AC35980AADCDD3A43683E5B19","https://www.fpsc.gov.pk/tenders","200","Stylesheet","727","719","2147","2147.314","3733","3733","3733","Thu, 13 Apr 2023 19:37:55 GMT","max-age=1209600","text/css","","43","http/1.1","-1","-1","-1","-1","-1","-1","https://www.fpsc.gov.pk/tenders","102","","parser","Highest","Highest","","1774","100","0","32","-1","100","-1","-1","-1","-1","-1","-1","-1","3733","2522","","","","","1209600","","","1701","","","","","8081","","","2874","2147","2866","2866","2874","8","2147","2874","727","11","12","","","","1","0","","","","","","","","","","",
"3","230330_9F_P1","12648.13","127.0.0.1","https://www.fpsc.gov.pk/sites/all/modules/date/date_popup/themes/datepicker.1.7.css?rc4kj0","1","GET","www.fpsc.gov.pk","/sites/all/modules/date/date_popup/themes/datepicker.1.7.css?rc4kj0","12648.13","6078094AC35980AADCDD3A43683E5B19","https://www.fpsc.gov.pk/tenders","200","Stylesheet","735","728","2151","2150.619","3722","3722","3722","Thu, 13 Apr 2023 19:37:55 GMT","max-age=1209600","text/css","","53","http/1.1","-1","-1","-1","-1","-1","-1","https://www.fpsc.gov.pk/tenders","102","","parser","Highest","Highest","","1831","100","0","24","-1","100","-1","-1","-1","-1","-1","-1","-1","3722","2803","","","","","1209600","","","1702","","","","","8081","","","2886","2151","2879","2879","2886","7","2151","2886","735","12","13","","","","1","0","","","","","","","","","","",
"3","230330_9F_P1","12648.14","127.0.0.1","https://www.fpsc.gov.pk/modules/field/theme/field.css?rc4kj0","1","GET","www.fpsc.gov.pk","/modules/field/theme/field.css?rc4kj0","12648.14","6078094AC35980AADCDD3A43683E5B19","https://www.fpsc.gov.pk/tenders","200","Stylesheet","584","577","2425","2425.366","550","550","550","Thu, 13 Apr 2023 19:37:55 GMT","max-age=1209600","text/css","","65","http/1.1","-1","-1","-1","-1","-1","-1","https://www.fpsc.gov.pk/tenders","102","","parser","Highest","Highest","","1741","100","0","-1","-1","100","-1","-1","-1","-1","-1","-1","-1","","","","","","","1209600","","","1707","","","","","8081","","","3009","2425","3002","3002","3009","7","2425","3009","584","13","14","","","","1","0","","","","","","","","","","",
