"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpuTime","run","cached","renderBlocking","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","cpu.FunctionCall","jpeg_scan_count","score_progressive_jpeg","initiator_function","http2_server_settings",
"3","230330_C1_CQ","18278.20","127.0.0.1","https://fonts.googleapis.com/css2?family=Open+Sans&family=Roboto:wght@300&display=swap","1","GET","fonts.googleapis.com","/css2?family=Open+Sans&family=Roboto:wght@300&display=swap","18278.20","612E20F881FDE6C70201D3467F3C8091","https://moitt.gov.pk/JobDetail/NjViNDBmZGUtNmNkNy00ZjZhLWJiZTctZmFjZDZmOTY4NGZm","200","Stylesheet","265","253","4806","4805.69","770","770","5726","Thu, 30 Mar 2023 15:27:17 GMT","private, max-age=86400, stale-while-revalidate=604800","text/css","gzip","131","HTTP/2","4703","4703","4785","4786","4786","4802","https://moitt.gov.pk/JobDetail/NjViNDBmZGUtNmNkNy00ZjZhLWJiZTctZmFjZDZmOTY4NGZm","115","","parser","Highest","Highest","","1840","50","100","100","-1","100","-1","-1","-1","-1","0","1","16","770","0","","","","","86400","Google","","4757","TLS 1.3","False","h2","4865","8081","","","5071","4806","5059","5059","5071","12","4785","5071","282","7","8","","","","1","0","blocking","1","0","256","1","","","","","Array",
"3","230330_C1_CQ","18278.21","127.0.0.1","https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css","1","GET","cdnjs.cloudflare.com","/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css","18278.21","612E20F881FDE6C70201D3467F3C8091","https://moitt.gov.pk/JobDetail/NjViNDBmZGUtNmNkNy00ZjZhLWJiZTctZmFjZDZmOTY4NGZm","200","Stylesheet","201","178","4807","4806.762","6874","6874","31000","Tue, 19 Mar 2024 15:27:17 GMT","public, max-age=30672000","text/css","gzip","135","HTTP/2","4702","4702","4788","4789","4789","4803","https://moitt.gov.pk/JobDetail/NjViNDBmZGUtNmNkNy00ZjZhLWJiZTctZmFjZDZmOTY4NGZm","116","","parser","Highest","Highest","","1828","100","100","100","-1","100","-1","-1","-1","-1","0","1","14","6874","0","","","","","30077154","Cloudflare","","4763","TLS 1.3","False","h2","4865","8081","","","5008","4807","4985","4985","5008","23","4788","5008","216","8","9","","","","1","0","blocking","1","0","256","1","","","","","Array",
"3","230330_C1_CQ","18278.27","127.0.0.1","https://cdnjs.cloudflare.com/ajax/libs/prettyPhoto/3.1.6/js/jquery.prettyPhoto.min.js","1","GET","cdnjs.cloudflare.com","/ajax/libs/prettyPhoto/3.1.6/js/jquery.prettyPhoto.min.js","18278.27","612E20F881FDE6C70201D3467F3C8091","https://moitt.gov.pk/JobDetail/NjViNDBmZGUtNmNkNy00ZjZhLWJiZTctZmFjZDZmOTY4NGZm","200","Script","214","206","4808","4807.939","6168","6168","23576","Tue, 19 Mar 2024 15:27:17 GMT","public, max-age=30672000","application/javascript","gzip","135","HTTP/2","-1","-1","-1","-1","-1","-1","https://moitt.gov.pk/JobDetail/NjViNDBmZGUtNmNkNy00ZjZhLWJiZTctZmFjZDZmOTY4NGZm","636","","parser","High","High","","1795","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","6168","0","","","","","30376232","Cloudflare","","4769","","","","","8081","","","5022","4808","5014","5014","5022","8","4808","5022","214","9","10","","","","1","0","in_body_parser_blocking","3","1","220","1","","","","","",
"3","230330_C1_CQ","18278.10","127.0.0.1","https://moitt.gov.pk/Content/css/colors/theme-skin-color-set-1.css","1","GET","moitt.gov.pk","/Content/css/colors/theme-skin-color-set-1.css","18278.10","612E20F881FDE6C70201D3467F3C8091","https://moitt.gov.pk/JobDetail/NjViNDBmZGUtNmNkNy00ZjZhLWJiZTctZmFjZDZmOTY4NGZm","200","Stylesheet","366","332","6233","6232.741","39054","39054","39054","","","text/css","","73","http/1.1","-1","-1","-1","-1","-1","-1","https://moitt.gov.pk/JobDetail/NjViNDBmZGUtNmNkNy00ZjZhLWJiZTctZmFjZDZmOTY4NGZm","99","","parser","Highest","Highest","","1921","0","0","11","-1","100","-1","-1","-1","-1","-1","-1","-1","39054","34412","","","","","0","","","4739","","","","","8081","","","6599","6233","6565","6565","6599","34","6233","6599","366","10","11","","","","1","0","blocking","","","","","","","","","",
"3","230330_C1_CQ","18278.11","127.0.0.1","https://moitt.gov.pk/Content/css/custom-bootstrap-margin-padding.css","1","GET","moitt.gov.pk","/Content/css/custom-bootstrap-margin-padding.css","18278.11","612E20F881FDE6C70201D3467F3C8091","https://moitt.gov.pk/JobDetail/NjViNDBmZGUtNmNkNy00ZjZhLWJiZTctZmFjZDZmOTY4NGZm","200","Stylesheet","1340","1331","6237","6236.825","92371","92371","92371","","","text/css","","23","http/1.1","-1","-1","-1","-1","-1","-1","https://moitt.gov.pk/JobDetail/NjViNDBmZGUtNmNkNy00ZjZhLWJiZTctZmFjZDZmOTY4NGZm","101","","parser","Highest","Highest","","1927","0","0","8","-1","100","-1","-1","-1","-1","-1","-1","-1","92371","84869","","","","","0","","","4741","","","","","8081","","","7577","6237","7568","7568","7577","9","6237","7577","1340","11","12","","","","1","0","blocking","","","","","","","","","",
"3","230330_C1_CQ","18278.12","127.0.0.1","https://moitt.gov.pk/Content/css/responsive.css","1","GET","moitt.gov.pk","/Content/css/responsive.css","18278.12","612E20F881FDE6C70201D3467F3C8091","https://moitt.gov.pk/JobDetail/NjViNDBmZGUtNmNkNy00ZjZhLWJiZTctZmFjZDZmOTY4NGZm","200","Stylesheet","783","774","6243","6243.496","10441","10441","10441","","","text/css","","25","http/1.1","-1","-1","-1","-1","-1","-1","https://moitt.gov.pk/JobDetail/NjViNDBmZGUtNmNkNy00ZjZhLWJiZTctZmFjZDZmOTY4NGZm","103","","parser","Highest","Highest","","1864","0","0","20","-1","100","-1","-1","-1","-1","-1","-1","-1","10441","8336","","","","","0","","","4742","","","","","8081","","","7026","6243","7017","7017","7026","9","6243","7026","783","12","13","","","","1","0","blocking","","","","","","","","","",
"3","230330_C1_CQ","18278.13","127.0.0.1","https://moitt.gov.pk/Content/css/demo-page-styles.css","1","GET","moitt.gov.pk","/Content/css/demo-page-styles.css","18278.13","612E20F881FDE6C70201D3467F3C8091","https://moitt.gov.pk/JobDetail/NjViNDBmZGUtNmNkNy00ZjZhLWJiZTctZmFjZDZmOTY4NGZm","200","Stylesheet","708","704","6602","6601.943","387","387","387","","","text/css","","73","http/1.1","-1","-1","-1","-1","-1","-1","https://moitt.gov.pk/JobDetail/NjViNDBmZGUtNmNkNy00ZjZhLWJiZTctZmFjZDZmOTY4NGZm","105","","parser","Highest","Highest","","1882","0","0","-1","-1","100","-1","-1","-1","-1","-1","-1","-1","","","","","","","0","","","4744","","","","","8081","","","7310","6602","7306","7306","7310","4","6602","7310","708","13","14","","","","1","0","blocking","","","","","","","","","",
"3","230330_C1_CQ","18278.14","127.0.0.1","https://moitt.gov.pk/Content/css/breaking-news-ticker.css","1","GET","moitt.gov.pk","/Content/css/breaking-news-ticker.css","18278.14","612E20F881FDE6C70201D3467F3C8091","https://moitt.gov.pk/JobDetail/NjViNDBmZGUtNmNkNy00ZjZhLWJiZTctZmFjZDZmOTY4NGZm","200","Stylesheet","460","455","6916","6916.206","5827","5827","5827","","","text/css","","43","http/1.1","-1","-1","-1","-1","-1","-1","https://moitt.gov.pk/JobDetail/NjViNDBmZGUtNmNkNy00ZjZhLWJiZTctZmFjZDZmOTY4NGZm","106","","parser","Highest","Highest","","1894","0","0","23","-1","100","-1","-1","-1","-1","-1","-1","-1","5827","4461","","","","","0","","","4745","","","","","8081","","","7376","6916","7371","7371","7376","5","6916","7376","460","14","15","","","","1","0","blocking","","","","","","","","","",
"3","230330_C1_CQ","18278.22","127.0.0.1","https://moitt.gov.pk/Content/chatbot/assets/css/style.css?v=1.1","1","GET","moitt.gov.pk","/Content/chatbot/assets/css/style.css?v=1.1","18278.22","612E20F881FDE6C70201D3467F3C8091","https://moitt.gov.pk/JobDetail/NjViNDBmZGUtNmNkNy00ZjZhLWJiZTctZmFjZDZmOTY4NGZm","200","Stylesheet","363","352","7033","7033.265","11018","11018","11018","","","text/css","","25","http/1.1","-1","-1","-1","-1","-1","-1","https://moitt.gov.pk/JobDetail/NjViNDBmZGUtNmNkNy00ZjZhLWJiZTctZmFjZDZmOTY4NGZm","117","","parser","Highest","Highest","","1912","0","0","26","-1","100","-1","-1","-1","-1","-1","-1","-1","11018","8110","","","","","0","","","4764","","","","","8081","","","7396","7033","7385","7385","7396","11","7033","7396","363","15","16","","","","1","0","blocking","","","","","","","","","",
"3","230330_C1_CQ","18278.23","127.0.0.1","https://moitt.gov.pk/Scripts/aaa/src/css/jbility.css","1","GET","moitt.gov.pk","/Scripts/aaa/src/css/jbility.css","18278.23","612E20F881FDE6C70201D3467F3C8091","https://moitt.gov.pk/JobDetail/NjViNDBmZGUtNmNkNy00ZjZhLWJiZTctZmFjZDZmOTY4NGZm","200","Stylesheet","473","467","7068","7068.165","1714","1714","1714","","","text/css","","83","http/1.1","-1","-1","-1","-1","-1","-1","https://moitt.gov.pk/JobDetail/NjViNDBmZGUtNmNkNy00ZjZhLWJiZTctZmFjZDZmOTY4NGZm","118","","parser","Highest","Highest","","1879","0","0","-1","-1","100","-1","-1","-1","-1","-1","-1","-1","","","","","","","0","","","4766","","","","","8081","","","7541","7068","7535","7535","7541","6","7068","7541","473","16","17","","","","1","0","blocking","","","","","","","","","",
