"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpu.FunctionCall","cpuTime","run","cached","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","renderBlocking","initiator_function","jpeg_scan_count","score_progressive_jpeg","http2_server_settings",
"3","230330_K8_73","4577.8","127.0.0.1","https://mofa.gov.pk/wp-content/plugins/custom-twitter-feeds/css/ctf-styles.min.css?ver=2.0.6","1","GET","mofa.gov.pk","/wp-content/plugins/custom-twitter-feeds/css/ctf-styles.min.css?ver=2.0.6","4577.8","3B073FECC767FCFBE54BF510461B88EC","https://mofa.gov.pk/cwc/","200","Stylesheet","838","834","1568","1567.88","3113","3113","17382","","","text/css","gzip","90","http/1.1","1369","1369","1468","1470","1470","1481","https://mofa.gov.pk/cwc/","109","","parser","Highest","Highest","","2029","0","0","100","-1","100","-1","-1","-1","-1","0","2","11","3113","0","","","","","0","","","1441","TLS 1.3","True","http/1.1","4865","8081","","","2406","1568","2402","2402","2406","4","1468","2406","851","5","6","","","","","1","0","","","","","blocking","","","","",
"3","230330_K8_73","4577.27","127.0.0.1","https://fonts.googleapis.com/css?family=Roboto%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CRoboto+Slab%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&display=auto&ver=6.0.3","1","GET","fonts.googleapis.com","/css?family=Roboto%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CRoboto+Slab%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&display=auto&ver=6.0.3","4577.27","3B073FECC767FCFBE54BF510461B88EC","https://mofa.gov.pk/cwc/","200","Stylesheet","227","224","1569","1568.823","1712","1712","50391","Thu, 30 Mar 2023 12:47:46 GMT","private, max-age=86400, stale-while-revalidate=604800","text/css","gzip","35","HTTP/2","-1","-1","-1","-1","-1","-1","https://mofa.gov.pk/cwc/","131","","parser","Highest","Highest","","2902","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","1712","0","","","","","86400","Google","","1482","","","","","8081","","","1796","1569","1793","1793","1796","3","1569","1796","227","6","7","","","","","1","0","3","1","256","1","blocking","","","","",
"3","230330_K8_73","4577.9","127.0.0.1","https://mofa.gov.pk/wp-content/plugins/eleslider/assets/eleslider.css?ver=6.0.3","1","GET","mofa.gov.pk","/wp-content/plugins/eleslider/assets/eleslider.css?ver=6.0.3","4577.9","3B073FECC767FCFBE54BF510461B88EC","https://mofa.gov.pk/cwc/","200","Stylesheet","1246","1238","1571","1571.285","2044","2044","7879","","","text/css","gzip","98","http/1.1","-1","-1","1476","1481","1481","1487","https://mofa.gov.pk/cwc/","110","","parser","Highest","Highest","","1990","0","0","100","-1","100","-1","-1","-1","-1","-1","5","6","2044","0","","","","","0","","","1442","TLS 1.3","True","http/1.1","4865","8081","","","2817","1571","2809","2809","2817","8","1476","2817","1257","7","8","","","","","1","0","","","","","blocking","","","","",
"3","230330_K8_73","4577.10","127.0.0.1","https://mofa.gov.pk/wp-content/plugins/events-manager/includes/css/events-manager.min.css?ver=6.3","1","GET","mofa.gov.pk","/wp-content/plugins/events-manager/includes/css/events-manager.min.css?ver=6.3","4577.10","3B073FECC767FCFBE54BF510461B88EC","https://mofa.gov.pk/cwc/","200","Stylesheet","1570","1552","1572","1572.261","38278","38278","210868","","","text/css","gzip","104","http/1.1","-1","-1","1485","1487","1487","1493","https://mofa.gov.pk/cwc/","111","","parser","Highest","Highest","","2044","0","0","100","-1","100","-1","-1","-1","-1","-1","2","6","38278","0","","","","","0","","","1444","TLS 1.3","True","http/1.1","4865","8081","","","3142","1572","3124","3124","3142","18","1485","3142","1578","8","9","","","","","1","0","","","","","blocking","","","","",
"3","230330_K8_73","4577.11","127.0.0.1","https://mofa.gov.pk/wp-content/plugins/menu-image/includes/css/menu-image.css?ver=3.0.8","1","GET","mofa.gov.pk","/wp-content/plugins/menu-image/includes/css/menu-image.css?ver=3.0.8","4577.11","3B073FECC767FCFBE54BF510461B88EC","https://mofa.gov.pk/cwc/","200","Stylesheet","1307","1303","1575","1575.355","825","825","3343","","","text/css","gzip","110","http/1.1","-1","-1","1491","1494","1494","1511","https://mofa.gov.pk/cwc/","115","","parser","Highest","Highest","","2014","0","0","100","-1","100","-1","-1","-1","-1","-1","3","17","825","0","","","","","0","","","1445","TLS 1.3","True","http/1.1","4865","8081","","","2882","1575","2878","2878","2882","4","1491","2882","1327","9","10","","","","","1","0","","","","","blocking","","","","",
"3","230330_K8_73","4577.59","127.0.0.1","https://cdnjs.cloudflare.com/ajax/libs/chosen/1.8.7/chosen.jquery.min.js","1","GET","cdnjs.cloudflare.com","/ajax/libs/chosen/1.8.7/chosen.jquery.min.js","4577.59","3B073FECC767FCFBE54BF510461B88EC","https://mofa.gov.pk/cwc/","200","Script","110","104","1577","1576.936","6632","6632","29121","Tue, 19 Mar 2024 12:47:46 GMT","public, max-age=30672000","application/javascript","gzip","42","HTTP/2","-1","-1","-1","-1","-1","-1","https://mofa.gov.pk/cwc/","953","","parser","High","High","","1939","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","6632","0","","","","","19673537","Cloudflare","","1556","","","","","8081","","","1687","1577","1681","1681","1687","6","1577","1687","110","10","11","7","5","","12","1","0","3","1","220","1","in_body_parser_blocking","","","","",
"3","230330_K8_73","4577.44","127.0.0.1","http://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js","0","GET","ajax.googleapis.com","/ajax/libs/jquery/3.3.1/jquery.min.js","4577.44","3B073FECC767FCFBE54BF510461B88EC","https://mofa.gov.pk/cwc/","200","Script","142","133","1577","1577.443","30399","30399","86927","Thu, 28 Mar 2024 18:12:47 GMT","public, max-age=31536000, stale-while-revalidate=2592000","text/javascript","gzip","240","http/1.1","1439","1439","1567","1568","-1","-1","https://mofa.gov.pk/cwc/","702","","parser","High","High","","976","100","100","100","-1","100","-1","-1","-1","-1","0","1","-1","30399","0","","","","","31469101","Google","","1537","","","","","8080","","","1719","1577","1710","1710","1719","9","1567","1719","143","11","12","40","17","67","124","1","0","","","","","in_body_parser_blocking","","","","",
"3","230330_K8_73","4577.12","127.0.0.1","https://mofa.gov.pk/wp-includes/css/dashicons.min.css?ver=6.0.3","1","GET","mofa.gov.pk","/wp-includes/css/dashicons.min.css?ver=6.0.3","4577.12","3B073FECC767FCFBE54BF510461B88EC","https://mofa.gov.pk/cwc/","200","Stylesheet","1266","1231","1804","1803.704","35730","35730","59016","","","text/css","gzip","23","http/1.1","-1","-1","-1","-1","-1","-1","https://mofa.gov.pk/cwc/","116","","parser","Highest","Highest","","1942","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","35730","0","","","","","0","","","1449","","","","","8081","","","3070","1804","3035","3035","3070","35","1804","3070","1266","12","13","","","","","1","0","","","","","blocking","","","","",
"3","230330_K8_73","4577.13","127.0.0.1","https://mofa.gov.pk/wp-content/plugins/tf-numbers-number-counter-animaton/assets/css/font-awesome.min.css?ver=1","1","GET","mofa.gov.pk","/wp-content/plugins/tf-numbers-number-counter-animaton/assets/css/font-awesome.min.css?ver=1","4577.13","3B073FECC767FCFBE54BF510461B88EC","https://mofa.gov.pk/cwc/","200","Stylesheet","826","786","2114","2113.604","7057","7057","31078","","","text/css","gzip","25","http/1.1","-1","-1","-1","-1","-1","-1","https://mofa.gov.pk/cwc/","117","","parser","Highest","Highest","","2086","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","7057","0","","","","","0","","","1451","","","","","8081","","","2940","2114","2900","2900","2940","40","2114","2940","826","13","14","","","","","1","0","","","","","blocking","","","","",
"3","230330_K8_73","4577.14","127.0.0.1","https://mofa.gov.pk/wp-content/plugins/tf-numbers-number-counter-animaton/assets/css/style.css?ver=1","1","GET","mofa.gov.pk","/wp-content/plugins/tf-numbers-number-counter-animaton/assets/css/style.css?ver=1","4577.14","3B073FECC767FCFBE54BF510461B88EC","https://mofa.gov.pk/cwc/","200","Stylesheet","641","634","2410","2410.339","468","468","1334","","","text/css","gzip","90","http/1.1","-1","-1","-1","-1","-1","-1","https://mofa.gov.pk/cwc/","118","","parser","Highest","Highest","","2053","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","468","0","","","","","0","","","1452","","","","","8081","","","3051","2410","3044","3044","3051","7","2410","3051","641","14","15","","","","","1","0","","","","","blocking","","","","",
