"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpuTime","run","cached","renderBlocking","cpu.FunctionCall","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","jpeg_scan_count","score_progressive_jpeg","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","initiator_function","http2_server_settings",
"3","230330_SZ_FH","19292.40","127.0.0.1","http://cms.ndma.gov.pk/public/assets/css/font-awesome.min.css","0","GET","cms.ndma.gov.pk","/public/assets/css/font-awesome.min.css","19292.40","AFCB2098AFE342D15DFBC497D73C12F9","http://cms.ndma.gov.pk/careers","200","Stylesheet","519","510","2346","2345.715","6094","6094","26739","","","text/css","gzip","43","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/public/assets/css/master.css","","","parser","Highest","Highest","","2980","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","6094","0","","","","","0","","","2030","8080","","","2865","2346","2856","2856","2865","9","2346","2865","519","12","13","","","","1","0","blocking","","","","","","","","","","","","","",
"3","230330_SZ_FH","19292.41","127.0.0.1","http://cms.ndma.gov.pk/public/assets/css/theme.css","0","GET","cms.ndma.gov.pk","/public/assets/css/theme.css","19292.41","AFCB2098AFE342D15DFBC497D73C12F9","http://cms.ndma.gov.pk/careers","200","Stylesheet","422","412","2456","2455.563","7083","7083","35421","","","text/css","gzip","59","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/public/assets/css/master.css","","","parser","Highest","Highest","","2947","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","7083","0","","","","","0","","","2035","8080","","","2878","2456","2868","2868","2878","10","2456","2878","422","13","14","","","","1","0","blocking","","","","","","","","","","","","","",
"3","230330_SZ_FH","19292.42","127.0.0.1","http://cms.ndma.gov.pk/public/assets/css/responsive.css","0","GET","cms.ndma.gov.pk","/public/assets/css/responsive.css","19292.42","AFCB2098AFE342D15DFBC497D73C12F9","http://cms.ndma.gov.pk/careers","200","Stylesheet","371","367","2481","2481.462","1409","1409","4857","","","text/css","gzip","63","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/public/assets/css/master.css","","","parser","Highest","Highest","","2962","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","1409","0","","","","","0","","","2040","8080","","","2852","2481","2848","2848","2852","4","2481","2852","371","14","15","","","","1","0","blocking","","","","","","","","","","","","","",
"3","230330_SZ_FH","19292.43","127.0.0.1","http://cms.ndma.gov.pk/public/assets/css/animate.css","0","GET","cms.ndma.gov.pk","/public/assets/css/animate.css","19292.43","AFCB2098AFE342D15DFBC497D73C12F9","http://cms.ndma.gov.pk/careers","200","Stylesheet","435","428","2603","2602.554","4241","4241","72159","","","text/css","gzip","23","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/public/assets/css/master.css","","","parser","Highest","Highest","","2953","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","4241","0","","","","","0","","","2044","8080","","","3038","2603","3031","3031","3038","7","2603","3038","435","15","16","","","","1","0","blocking","","","","","","","","","","","","","",
"3","230330_SZ_FH","19292.44","127.0.0.1","http://cms.ndma.gov.pk/public/assets/css/color.css","0","GET","cms.ndma.gov.pk","/public/assets/css/color.css","19292.44","AFCB2098AFE342D15DFBC497D73C12F9","http://cms.ndma.gov.pk/careers","200","Stylesheet","234","230","2835","2835.464","1138","1138","4243","","","text/css","gzip","25","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/public/assets/css/master.css","","","parser","Highest","Highest","","2947","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","1138","0","","","","","0","","","2049","8080","","","3069","2835","3065","3065","3069","4","2835","3069","234","16","17","","","","1","0","blocking","","","","","","","","","","","","","",
"3","230330_SZ_FH","19292.47","127.0.0.1","http://cms.ndma.gov.pk/public/assets/fonts/flaticon/flaticon.css","0","GET","cms.ndma.gov.pk","/public/assets/fonts/flaticon/flaticon.css","19292.47","AFCB2098AFE342D15DFBC497D73C12F9","http://cms.ndma.gov.pk/careers","200","Stylesheet","217","213","2875","2875.097","306","306","802","","","text/css","gzip","63","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/public/assets/css/master.css","","","parser","Highest","Highest","","2989","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","306","0","","","","","0","","","2062","8080","","","3092","2875","3088","3088","3092","4","2875","3092","217","17","18","","","","1","0","blocking","","","","","","","","","","","","","",
"3","230330_SZ_FH","19292.48","127.0.0.1","http://cms.ndma.gov.pk/public/assets/assets/loader/css/loader.css","0","GET","cms.ndma.gov.pk","/public/assets/assets/loader/css/loader.css","19292.48","AFCB2098AFE342D15DFBC497D73C12F9","http://cms.ndma.gov.pk/careers","200","Stylesheet","346","339","2882","2882.233","1295","1295","5415","","","text/css","gzip","43","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/public/assets/css/master.css","","","parser","Highest","Highest","","2992","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","1295","0","","","","","0","","","2065","8080","","","3228","2882","3221","3221","3228","7","2882","3228","346","18","19","","","","1","0","blocking","","","","","","","","","","","","","",
"3","230330_SZ_FH","19292.49","127.0.0.1","http://cms.ndma.gov.pk/public/assets/assets/owl-carousel/owl.carousel.css","0","GET","cms.ndma.gov.pk","/public/assets/assets/owl-carousel/owl.carousel.css","19292.49","AFCB2098AFE342D15DFBC497D73C12F9","http://cms.ndma.gov.pk/careers","200","Stylesheet","663","656","2890","2889.886","536","536","1547","","","text/css","gzip","59","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/public/assets/css/master.css","","","parser","Highest","Highest","","3016","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","536","0","","","","","0","","","2073","8080","","","3553","2890","3546","3546","3553","7","2890","3553","663","19","20","","","","1","0","blocking","","","","","","","","","","","","","",
"3","230330_SZ_FH","19292.50","127.0.0.1","http://cms.ndma.gov.pk/public/assets/assets/owl-carousel/owl.theme.css","0","GET","cms.ndma.gov.pk","/public/assets/assets/owl-carousel/owl.theme.css","19292.50","AFCB2098AFE342D15DFBC497D73C12F9","http://cms.ndma.gov.pk/careers","200","Stylesheet","424","417","2893","2892.663","619","619","1618","","","text/css","gzip","53","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/public/assets/css/master.css","","","parser","Highest","Highest","","3007","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","619","0","","","","","0","","","2078","8080","","","3317","2893","3310","3310","3317","7","2893","3317","424","20","21","","","","1","0","blocking","","","","","","","","","","","","","",
"3","230330_SZ_FH","19292.51","127.0.0.1","http://cms.ndma.gov.pk/public/assets/assets/isotope/isotope.css","0","GET","cms.ndma.gov.pk","/public/assets/assets/isotope/isotope.css","19292.51","AFCB2098AFE342D15DFBC497D73C12F9","http://cms.ndma.gov.pk/careers","200","Stylesheet","266","258","3042","3041.766","923","923","4133","","","text/css","gzip","23","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/public/assets/css/master.css","","","parser","Highest","Highest","","2986","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","923","0","","","","","0","","","2081","8080","","","3308","3042","3300","3300","3308","8","3042","3308","266","21","22","","","","1","0","blocking","","","","","","","","","","","","","",
