"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpu.FunctionCall","cpuTime","run","cached","renderBlocking","initiator_function","jpeg_scan_count","score_progressive_jpeg","http2_server_settings",
"3","230330_68_5","30519.175","127.0.0.1","https://www.google-analytics.com/g/collect?v=2&tid=G-41WNTLRYH1&gtm=45je33r0&_p=992137445&cid=992137445.1680171659&ul=en-gb&sr=360x640&uaa=arm&uamb=0&uam=Model&uap=Android&uapv=10&uaw=0&_eu=AEA&_s=2&sid=1680171659&sct=1&seg=0&dl=https%3A%2F%2Fwww.nadra.gov.pk%2Fidentity%2Fcancellation-certificate%2F&dt=Cancellation%20Certificate%20%E2%80%93%20NADRA%20Pakistan&en=scroll&epn.percent_scrolled=90&_et=50","1","POST","www.google-analytics.com","/g/collect?v=2&tid=G-41WNTLRYH1&gtm=45je33r0&_p=992137445&cid=992137445.1680171659&ul=en-gb&sr=360x640&uaa=arm&uamb=0&uam=Model&uap=Android&uapv=10&uaw=0&_eu=AEA&_s=2&sid=1680171659&sct=1&seg=0&dl=https%3A%2F%2Fwww.nadra.gov.pk%2Fidentity%2Fcancellation-certificate%2F&dt=Cancellation%20Certificate%20%E2%80%93%20NADRA%20Pakistan&en=scroll&epn.percent_scrolled=90&_et=50","30519.175","451F77678961468D564D00C5A5DB054F","https://www.nadra.gov.pk/identity/cancellation-certificate/","204","Ping","402","402","6839","6839.257","0","0","","Fri, 01 Jan 1990 00:00:00 GMT","no-cache, no-store, must-revalidate","text/plain","","43","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.googletagmanager.com/gtag/js?id=G-41WNTLRYH1","50","488","script","Lowest","Lowest","","3157","-1","100","-1","-1","100","-1","-1","-1","-1","-1","-1","-1","","","","","","","","Google","","6830","","","","","","","","","8081","","","7241","6839","7241","7241","7241","0","6839","7241","402","26","27","","","","","1","0","","wc","","","",
"3","230330_Y7_6","6917401D5B5A42C4C83DEF1D4B60EA33","127.0.0.1","https://www.nadra.gov.pk/identity/identity-crc/","1","GET","www.nadra.gov.pk","/identity/identity-crc/","6917401D5B5A42C4C83DEF1D4B60EA33","26A396B1B725853F432F0AC6F7F0D13B","https://www.nadra.gov.pk/identity/identity-crc/","200","Document","753","715","92","92.34","17525","17525","99280","","max-age=3, must-revalidate","text/html","gzip","23","HTTP/2","-1","-1","51","55","56","65","","","","script","Highest","Highest","","2182","-1","100","100","-1","100","-1","-1","-1","-1","-1","4","9","17798","0","","","","","","Cloudflare","","80","1","0","256","1","TLS 1.3","False","h2","4865","8081","1","1","845","92","807","807","845","38","51","845","766","0","1","279","6","16","301","1","0","","","","","Array",
"3","230330_Y7_6","31238.4","127.0.0.1","https://fonts.googleapis.com/css?family=Source%20Sans%20Pro:200,300,400,600,700,900,200italic,300italic,400italic,600italic,700italic,900italic&display=swap","1","GET","fonts.googleapis.com","/css?family=Source%20Sans%20Pro:200,300,400,600,700,900,200italic,300italic,400italic,600italic,700italic,900italic&display=swap","31238.4","26A396B1B725853F432F0AC6F7F0D13B","https://www.nadra.gov.pk/identity/identity-crc/","200","Stylesheet","231","199","1022","1022.012","1173","1173","28960","Thu, 30 Mar 2023 10:26:45 GMT","private, max-age=86400, stale-while-revalidate=604800","text/css","gzip","36","HTTP/2","945","945","994","995","995","1010","https://www.nadra.gov.pk/identity/identity-crc/","118","","parser","Highest","Highest","","2164","50","100","100","-1","100","-1","-1","-1","-1","0","1","15","1173","0","","","","","86400","Google","","990","1","0","256","1","TLS 1.3","False","h2","4865","8081","","","1253","1022","1221","1221","1253","32","994","1253","247","1","2","","","","","1","0","non_blocking","","","","Array",
"3","230330_Y7_6","31238.6","127.0.0.1","https://www.nadra.gov.pk/wp-content/plugins/bwp-minify/min/?f=wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css,wp-includes/css/dist/block-library/style.min.css,wp-includes/css/classic-themes.min.css,wp-content/plugins/redux-framework/redux-core/assets/css/extendify-utilities.css,wp-content/plugins/download-manager/assets/bootstrap/css/bootstrap.min.css,wp-content/plugins/download-manager/assets/css/front.css,wp-content/themes/broker/style.css,wp-content/themes/broker/css/font-awesome/font-awesome.min.css,wp-content/themes/broker/css/ionicons.css,wp-content/themes/broker/css/animate.css","1","GET","www.nadra.gov.pk","/wp-content/plugins/bwp-minify/min/?f=wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css,wp-includes/css/dist/block-library/style.min.css,wp-includes/css/classic-themes.min.css,wp-content/plugins/redux-framework/redux-core/assets/css/extendify-utilities.css,wp-content/plugins/download-manager/assets/bootstrap/css/bootstrap.min.css,wp-content/plugins/download-manager/assets/css/front.css,wp-content/themes/broker/style.css,wp-content/themes/broker/css/font-awesome/font-awesome.min.css,wp-content/themes/broker/css/ionicons.css,wp-content/themes/broker/css/animate.css","31238.6","26A396B1B725853F432F0AC6F7F0D13B","https://www.nadra.gov.pk/identity/identity-crc/","200","Stylesheet","1359","1306","1047","1046.941","89985","89985","404549","Fri, 31 Mar 2023 10:26:39 GMT","max-age=86400","text/css","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nadra.gov.pk/identity/identity-crc/","115","","parser","Highest","Highest","","3604","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","89985","0","","","","","86400","Cloudflare","","1024","3","0","256","1","","","","","8081","","","2406","1047","2353","2353","2406","53","1047","2406","1359","2","3","","","","","1","0","blocking","","","","",
"3","230330_Y7_6","31238.5","127.0.0.1","https://www.googletagmanager.com/gtag/js?id=G-41WNTLRYH1","1","GET","www.googletagmanager.com","/gtag/js?id=G-41WNTLRYH1","31238.5","26A396B1B725853F432F0AC6F7F0D13B","https://www.nadra.gov.pk/identity/identity-crc/","200","Script","500","468","1058","1057.991","80861","80861","239634","Thu, 30 Mar 2023 10:26:45 GMT","private, max-age=900","application/javascript","gzip","43","HTTP/2","963","963","1016","1018","1018","1031","https://www.nadra.gov.pk/identity/identity-crc/","75","","parser","Low","Low","","1822","0","100","100","-1","100","-1","-1","-1","-1","0","2","13","80861","0","","","","","900","Google","","1011","1","0","147","1","TLS 1.3","False","h2","4865","8081","","","1558","1058","1526","1526","1558","32","1016","1558","515","3","4","130","82","285","497","1","0","potentially_blocking","","","","Array",
"3","230330_Y7_6","31238.7","127.0.0.1","https://fonts.googleapis.com/css?family=Lato:100,300,regular,700,900%7COpen+Sans:300%7CIndie+Flower:regular%7COswald:300,regular,700&subset=latin%2Clatin-ext","1","GET","fonts.googleapis.com","/css?family=Lato:100,300,regular,700,900%7COpen+Sans:300%7CIndie+Flower:regular%7COswald:300,regular,700&subset=latin%2Clatin-ext","31238.7","26A396B1B725853F432F0AC6F7F0D13B","https://www.nadra.gov.pk/identity/identity-crc/","200","Stylesheet","227","224","1060","1059.559","975","975","11334","Thu, 30 Mar 2023 10:26:45 GMT","private, max-age=86400, stale-while-revalidate=604800","text/css","gzip","36","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nadra.gov.pk/identity/identity-crc/","116","","parser","Highest","Highest","","2167","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","975","0","","","","","86400","Google","","1043","3","1","256","1","","","","","8081","","","1287","1060","1284","1284","1287","3","1060","1287","227","4","5","","","","","1","0","blocking","","","","",
"3","230330_Y7_6","31238.8","127.0.0.1","https://www.nadra.gov.pk/wp-content/plugins/bwp-minify/min/?f=wp-content/themes/broker/inc/core/bootstrap/dist/css/bootstrap.min.css,wp-content/themes/broker/css/commercegurus.css,wp-content/themes/broker/css/responsive.css,wp-content/themes/broker/css/vc.css,wp-content/plugins/js_composer/assets/css/js_composer.min.css","1","GET","www.nadra.gov.pk","/wp-content/plugins/bwp-minify/min/?f=wp-content/themes/broker/inc/core/bootstrap/dist/css/bootstrap.min.css,wp-content/themes/broker/css/commercegurus.css,wp-content/themes/broker/css/responsive.css,wp-content/themes/broker/css/vc.css,wp-content/plugins/js_composer/assets/css/js_composer.min.css","31238.8","26A396B1B725853F432F0AC6F7F0D13B","https://www.nadra.gov.pk/identity/identity-crc/","200","Stylesheet","1435","1298","1069","1068.526","94420","94420","949808","Fri, 31 Mar 2023 10:26:39 GMT","max-age=86400","text/css","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nadra.gov.pk/identity/identity-crc/","117","","parser","Highest","Highest","","2728","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","94420","0","","","","","86400","Cloudflare","","1050","5","3","256","1","","","","","8081","","","2504","1069","2367","2367","2504","137","1069","2504","1435","5","6","","","","","1","0","blocking","","","","",
"3","230330_Y7_6","31238.9","127.0.0.1","https://www.nadra.gov.pk/wp-includes/js/jquery/jquery.min.js","1","GET","www.nadra.gov.pk","/wp-includes/js/jquery/jquery.min.js","31238.9","26A396B1B725853F432F0AC6F7F0D13B","https://www.nadra.gov.pk/identity/identity-crc/","200","Script","139","132","1069","1069.16","30977","30977","89684","Fri, 31 Mar 2023 05:48:12 GMT","max-age=86400","application/javascript","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nadra.gov.pk/identity/identity-crc/","125","","parser","High","High","","1903","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","31083","0","","","","","69693","Cloudflare","","1053","7","5","220","1","","","","","8081","","","1208","1069","1201","1201","1208","7","1069","1208","139","6","7","51","22","464","537","1","0","blocking","","","","",
"3","230330_Y7_6","31238.10","127.0.0.1","https://www.nadra.gov.pk/wp-includes/js/jquery/jquery-migrate.min.js","1","GET","www.nadra.gov.pk","/wp-includes/js/jquery/jquery-migrate.min.js","31238.10","26A396B1B725853F432F0AC6F7F0D13B","https://www.nadra.gov.pk/identity/identity-crc/","200","Script","83","81","1070","1069.647","4165","4165","11224","Fri, 31 Mar 2023 05:48:12 GMT","max-age=86400","application/javascript","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nadra.gov.pk/identity/identity-crc/","126","","parser","High","High","","1927","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","4334","0","","","","","69693","Cloudflare","","1055","9","7","220","1","","","","","8081","","","1153","1070","1151","1151","1153","2","1070","1153","83","7","8","8","3","","11","1","0","blocking","","","","",
"3","230330_Y7_6","31238.11","127.0.0.1","https://www.nadra.gov.pk/wp-content/plugins/bwp-minify/min/?f=wp-content/plugins/LayerSlider/static/layerslider/js/greensock.js,wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery.js,wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions.js,wp-content/plugins/download-manager/assets/bootstrap/js/popper.min.js,wp-content/plugins/download-manager/assets/bootstrap/js/bootstrap.min.js,wp-content/plugins/download-manager/assets/js/front.js,wp-content/plugins/the-preloader/js/preloader-script.js,wp-content/themes/broker/js/src/cond/owl.carousel.min.js,wp-content/themes/broker/js/src/cond/modernizr.js,wp-content/themes/broker/js/src/cond/scrollfix.js","1","GET","www.nadra.gov.pk","/wp-content/plugins/bwp-minify/min/?f=wp-content/plugins/LayerSlider/static/layerslider/js/greensock.js,wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery.js,wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions.js,wp-content/plugins/download-manager/assets/bootstrap/js/popper.min.js,wp-content/plugins/download-manager/assets/bootstrap/js/bootstrap.min.js,wp-content/plugins/download-manager/assets/js/front.js,wp-content/plugins/the-preloader/js/preloader-script.js,wp-content/themes/broker/js/src/cond/owl.carousel.min.js,wp-content/themes/broker/js/src/cond/modernizr.js,wp-content/themes/broker/js/src/cond/scrollfix.js","31238.11","26A396B1B725853F432F0AC6F7F0D13B","https://www.nadra.gov.pk/identity/identity-crc/","200","Script","1337","1277","1070","1070.188","190254","190254","420387","Fri, 31 Mar 2023 10:26:39 GMT","max-age=86400","application/x-javascript","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nadra.gov.pk/identity/identity-crc/","138","","parser","High","High","","3844","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","190254","0","","","","","86400","Cloudflare","","1056","11","9","220","1","","","","","8081","","","2407","1070","2347","2347","2407","60","1070","2407","1337","8","9","265","90","29","384","1","0","blocking","","","","",
