"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","renderBlocking","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","jpeg_scan_count","score_progressive_jpeg","initiator_function","http2_server_settings","cpu.EvaluateScript","cpu.v8.compile","cpuTime","cpu.FunctionCall",
"3","230331_8Y_97","1595.21","127.0.0.1","http://www.mofept.gov.pk/Scripts/aaa/src/css/jbility.css","0","GET","www.mofept.gov.pk","/Scripts/aaa/src/css/jbility.css","1595.21","8ABD2636970A9036DC1898C30A38A672","http://www.mofept.gov.pk/NewsDetail/MzRiNjY0ZGEtY2Y2ZS00ZjcxLTg0MDQtYjk4ZmI1NTZhOTlm","200","Stylesheet","426","419","3030","3030.279","1811","1811","1811","","","text/css","","23","http/1.1","-1","-1","-1","-1","-1","-1","http://www.mofept.gov.pk/NewsDetail/MzRiNjY0ZGEtY2Y2ZS00ZjcxLTg0MDQtYjk4ZmI1NTZhOTlm","118","","parser","Highest","Highest","","1603","0","0","-1","-1","100","-1","-1","-1","-1","-1","-1","-1","","","","","","","0","","","1660","8080","","","3456","3030","3449","3449","3456","7","3030","3456","426","16","17","1","0","blocking","","","","","","","","","","","","","","","","",
"3","230331_8Y_97","1595.17","127.0.0.1","http://www.mofept.gov.pk/Scripts/bootstrap.min.js","0","GET","www.mofept.gov.pk","/Scripts/bootstrap.min.js","1595.17","8ABD2636970A9036DC1898C30A38A672","http://www.mofept.gov.pk/NewsDetail/MzRiNjY0ZGEtY2Y2ZS00ZjcxLTg0MDQtYjk4ZmI1NTZhOTlm","200","Script","442","425","3197","3197.286","36868","36868","36868","","","application/javascript","","43","http/1.1","-1","-1","-1","-1","-1","-1","http://www.mofept.gov.pk/NewsDetail/MzRiNjY0ZGEtY2Y2ZS00ZjcxLTg0MDQtYjk4ZmI1NTZhOTlm","113","","parser","High","High","","1537","0","0","26","-1","100","-1","-1","-1","-1","-1","-1","-1","36868","27112","","","","","0","","","1653","8080","","","3639","3197","3622","3622","3639","17","3197","3639","442","17","18","1","0","blocking","","","","","","","","","","","","","20","11","31","",
"3","230331_8Y_97","1595.18","127.0.0.1","http://www.mofept.gov.pk/Scripts/datatables.min.js","0","GET","www.mofept.gov.pk","/Scripts/datatables.min.js","1595.18","8ABD2636970A9036DC1898C30A38A672","http://www.mofept.gov.pk/NewsDetail/MzRiNjY0ZGEtY2Y2ZS00ZjcxLTg0MDQtYjk4ZmI1NTZhOTlm","200","Script","989","972","3242","3242.308","84932","84932","84932","","","application/javascript","","61","http/1.1","-1","-1","-1","-1","-1","-1","http://www.mofept.gov.pk/NewsDetail/MzRiNjY0ZGEtY2Y2ZS00ZjcxLTg0MDQtYjk4ZmI1NTZhOTlm","114","","parser","High","High","","1540","0","0","34","-1","100","-1","-1","-1","-1","-1","-1","-1","84932","56027","","","","","0","","","1655","8080","","","4231","3242","4214","4214","4231","17","3242","4231","989","18","19","1","0","blocking","","","","","","","","","","","","","34","23","57","",
"3","230331_8Y_97","1595.19","127.0.0.1","http://www.mofept.gov.pk/Scripts/jquery.unobtrusive-ajax.min.js","0","GET","www.mofept.gov.pk","/Scripts/jquery.unobtrusive-ajax.min.js","1595.19","8ABD2636970A9036DC1898C30A38A672","http://www.mofept.gov.pk/NewsDetail/MzRiNjY0ZGEtY2Y2ZS00ZjcxLTg0MDQtYjk4ZmI1NTZhOTlm","200","Script","479","467","3280","3279.662","4061","4061","4061","","","application/javascript","","25","http/1.1","-1","-1","-1","-1","-1","-1","http://www.mofept.gov.pk/NewsDetail/MzRiNjY0ZGEtY2Y2ZS00ZjcxLTg0MDQtYjk4ZmI1NTZhOTlm","115","","parser","High","High","","1579","0","0","44","-1","100","-1","-1","-1","-1","-1","-1","-1","4061","2258","","","","","0","","","1656","8080","","","3759","3280","3747","3747","3759","12","3280","3759","479","19","20","1","0","blocking","","","","","","","","","","","","","2","1","3","",
"3","230331_8Y_97","1595.24","127.0.0.1","http://www.mofept.gov.pk/Scripts/jquery-plugin-collection.js","0","GET","www.mofept.gov.pk","/Scripts/jquery-plugin-collection.js","1595.24","8ABD2636970A9036DC1898C30A38A672","http://www.mofept.gov.pk/NewsDetail/MzRiNjY0ZGEtY2Y2ZS00ZjcxLTg0MDQtYjk4ZmI1NTZhOTlm","200","Script","3208","3116","3466","3465.932","772814","772814","772814","","","application/javascript","","23","http/1.1","-1","-1","-1","-1","-1","-1","http://www.mofept.gov.pk/NewsDetail/MzRiNjY0ZGEtY2Y2ZS00ZjcxLTg0MDQtYjk4ZmI1NTZhOTlm","526","","parser","High","High","","1570","0","0","27","-1","100","-1","-1","-1","-1","-1","-1","-1","772814","560367","","","","","0","","","1662","8080","","","6674","3466","6582","6582","6674","92","3466","6674","3208","20","21","1","0","in_body_parser_blocking","","","","","","","","","","","","","579","231","813","4",
"3","230331_8Y_97","1595.26","127.0.0.1","http://www.mofept.gov.pk/Scripts/custom.js","0","GET","www.mofept.gov.pk","/Scripts/custom.js","1595.26","8ABD2636970A9036DC1898C30A38A672","http://www.mofept.gov.pk/NewsDetail/MzRiNjY0ZGEtY2Y2ZS00ZjcxLTg0MDQtYjk4ZmI1NTZhOTlm","200","Script","836","828","3648","3647.95","71162","71162","71162","","","application/javascript","","43","http/1.1","-1","-1","-1","-1","-1","-1","http://www.mofept.gov.pk/NewsDetail/MzRiNjY0ZGEtY2Y2ZS00ZjcxLTg0MDQtYjk4ZmI1NTZhOTlm","529","","parser","High","High","","1516","0","0","17","-1","100","-1","-1","-1","-1","-1","-1","-1","71162","59031","","","","","0","","","1665","8080","","","4484","3648","4476","4476","4484","8","3648","4484","836","21","22","1","0","in_body_parser_blocking","","","","","","","","","","","","","28","17","176","131",
"3","230331_8Y_97","1595.27","127.0.0.1","http://www.mofept.gov.pk/Scripts/breaking-news-ticker.min.js","0","GET","www.mofept.gov.pk","/Scripts/breaking-news-ticker.min.js","1595.27","8ABD2636970A9036DC1898C30A38A672","http://www.mofept.gov.pk/NewsDetail/MzRiNjY0ZGEtY2Y2ZS00ZjcxLTg0MDQtYjk4ZmI1NTZhOTlm","200","Script","494","471","3774","3774.169","10278","10278","10278","","","application/javascript","","25","http/1.1","-1","-1","-1","-1","-1","-1","http://www.mofept.gov.pk/NewsDetail/MzRiNjY0ZGEtY2Y2ZS00ZjcxLTg0MDQtYjk4ZmI1NTZhOTlm","531","","parser","High","High","","1570","0","0","26","-1","100","-1","-1","-1","-1","-1","-1","-1","10278","7565","","","","","0","","","1666","8080","","","4268","3774","4245","4245","4268","23","3774","4268","494","22","23","1","0","in_body_parser_blocking","","","","","","","","","","","","","3","3","6","",
"3","230331_8Y_97","1595.28","127.0.0.1","http://www.mofept.gov.pk/Scripts/aaa/src/js/jbility.js","0","GET","www.mofept.gov.pk","/Scripts/aaa/src/js/jbility.js","1595.28","8ABD2636970A9036DC1898C30A38A672","http://www.mofept.gov.pk/NewsDetail/MzRiNjY0ZGEtY2Y2ZS00ZjcxLTg0MDQtYjk4ZmI1NTZhOTlm","200","Script","465","461","3795","3794.992","3097","3097","3097","","","application/javascript","","67","http/1.1","-1","-1","-1","-1","-1","-1","http://www.mofept.gov.pk/NewsDetail/MzRiNjY0ZGEtY2Y2ZS00ZjcxLTg0MDQtYjk4ZmI1NTZhOTlm","538","","parser","High","High","","1552","0","0","32","-1","100","-1","-1","-1","-1","-1","-1","-1","3097","2091","","","","","0","","","1668","8080","","","4260","3795","4256","4256","4260","4","3795","4260","465","23","24","1","0","in_body_parser_blocking","","","","","","","","","","","","","1","1","2","",
"3","230331_8Y_97","1595.48","127.0.0.1","https://fonts.googleapis.com/css?family=Open+Sans:400,300,600,700,800|family=Raleway:400,200,300,500,600,700,800,900|family=Titillium+Web:400,200,300,600,700,900","1","GET","fonts.googleapis.com","/css?family=Open+Sans:400,300,600,700,800|family=Raleway:400,200,300,500,600,700,800,900|family=Titillium+Web:400,200,300,600,700,900","1595.48","8ABD2636970A9036DC1898C30A38A672","http://www.mofept.gov.pk/NewsDetail/MzRiNjY0ZGEtY2Y2ZS00ZjcxLTg0MDQtYjk4ZmI1NTZhOTlm","200","Stylesheet","447","412","3839","3839.374","769","769","13415","Fri, 31 Mar 2023 03:36:37 GMT","private, max-age=86400, stale-while-revalidate=604800","text/css","gzip","173","HTTP/2","3772","3772","3827","3829","3829","3837","http://www.mofept.gov.pk/Content/css/style-main.css","","","parser","Highest","Highest","","2065","50","100","100","-1","100","-1","-1","-1","-1","0","2","8","769","0","","","","","86400","Google","","3823","8081","","","4286","3839","4251","4251","4286","35","3827","4286","457","24","25","1","0","blocking","1","0","256","1","TLS 1.3","False","h2","4865","","","","Array","","","","",
"3","230331_8Y_97","1595.43","127.0.0.1","http://www.mofept.gov.pk/Content/css/font-awesome.min.css","0","GET","www.mofept.gov.pk","/Content/css/font-awesome.min.css","1595.43","8ABD2636970A9036DC1898C30A38A672","http://www.mofept.gov.pk/NewsDetail/MzRiNjY0ZGEtY2Y2ZS00ZjcxLTg0MDQtYjk4ZmI1NTZhOTlm","200","Stylesheet","390","376","4078","4077.626","27494","27494","27494","","","text/css","","49","http/1.1","-1","-1","-1","-1","-1","-1","http://www.mofept.gov.pk/Content/css/style-main.css","","","parser","Highest","Highest","","1606","0","0","22","-1","100","-1","-1","-1","-1","-1","-1","-1","27494","21309","","","","","0","","","3806","8080","","","4468","4078","4454","4454","4468","14","4078","4468","390","25","26","1","0","blocking","","","","","","","","","","","","","","","","",
