"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpuTime","run","cached","renderBlocking","cpu.FunctionCall","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","jpeg_scan_count","score_progressive_jpeg","initiator_function","http2_server_settings",
"3","230330_GK_TP","32092.13","127.0.0.1","https://nitb.gov.pk/Content/include/rs-plugin/css/settings.css","1","GET","nitb.gov.pk","/Content/include/rs-plugin/css/settings.css","32092.13","869BCE5F59615A6069DEE4E77064FD18","https://nitb.gov.pk/","200","Stylesheet","837","801","6258","6257.934","30072","30072","30072","","","text/css","","49","http/1.1","-1","-1","-1","-1","-1","-1","https://nitb.gov.pk/","94","","parser","Highest","Highest","","2287","0","0","23","-1","100","-1","-1","-1","-1","-1","-1","-1","30072","22949","","","","","0","","","5079","","","","","8081","","","7095","6258","7059","7059","7095","36","6258","7095","837","10","11","","","","1","0","blocking","","","","","","","","","",
"3","230330_GK_TP","32092.14","127.0.0.1","https://nitb.gov.pk/Content/include/rs-plugin/css/layers.css","1","GET","nitb.gov.pk","/Content/include/rs-plugin/css/layers.css","32092.14","869BCE5F59615A6069DEE4E77064FD18","https://nitb.gov.pk/","200","Stylesheet","1813","1790","6855","6855.357","102947","102947","102947","","","text/css","","55","http/1.1","-1","-1","-1","-1","-1","-1","https://nitb.gov.pk/","95","","parser","Highest","Highest","","2281","0","0","8","-1","100","-1","-1","-1","-1","-1","-1","-1","102947","94286","","","","","0","","","5080","","","","","8081","","","8668","6855","8645","8645","8668","23","6855","8668","1813","11","12","","","","1","0","blocking","","","","","","","","","",
"3","230330_GK_TP","32092.15","127.0.0.1","https://nitb.gov.pk/Content/include/rs-plugin/css/navigation.css","1","GET","nitb.gov.pk","/Content/include/rs-plugin/css/navigation.css","32092.15","869BCE5F59615A6069DEE4E77064FD18","https://nitb.gov.pk/","200","Stylesheet","874","841","7102","7101.663","41254","41254","41254","","","text/css","","49","http/1.1","-1","-1","-1","-1","-1","-1","https://nitb.gov.pk/","96","","parser","Highest","Highest","","2293","0","0","13","-1","100","-1","-1","-1","-1","-1","-1","-1","41254","35874","","","","","0","","","5081","","","","","8081","","","7976","7102","7943","7943","7976","33","7102","7976","874","12","13","","","","1","0","blocking","","","","","","","","","",
"3","230330_GK_TP","32092.16","127.0.0.1","https://nitb.gov.pk/Scripts/jquery.js","1","GET","nitb.gov.pk","/Scripts/jquery.js","32092.16","869BCE5F59615A6069DEE4E77064FD18","https://nitb.gov.pk/","200","Script","1959","1921","7106","7106.012","86927","86927","86927","","","application/javascript","","25","http/1.1","-1","-1","-1","-1","-1","-1","https://nitb.gov.pk/","98","","parser","High","High","","2170","0","0","34","-1","100","-1","-1","-1","-1","-1","-1","-1","86927","56607","","","","","0","","","5082","","","","","8081","","","9065","7106","9027","9027","9065","38","7106","9065","1959","13","14","80","36","991","1","0","blocking","875","","","","","","","","",
"3","230330_GK_TP","32092.30","127.0.0.1","https://nitb.gov.pk/Scripts/plugins.js","1","GET","nitb.gov.pk","/Scripts/plugins.js","32092.30","869BCE5F59615A6069DEE4E77064FD18","https://nitb.gov.pk/","200","Script","3296","3240","7299","7298.989","609323","609323","609323","","","application/javascript","","23","http/1.1","-1","-1","-1","-1","-1","-1","https://nitb.gov.pk/","1350","","parser","High","High","","2173","0","0","28","-1","100","-1","-1","-1","-1","-1","-1","-1","609323","438221","","","","","0","","","5088","","","","","8081","","","10595","7299","10539","10539","10595","56","7299","10595","3296","14","15","265","187","972","1","0","in_body_parser_blocking","520","","","","","","","","",
"3","230330_GK_TP","32092.31","127.0.0.1","https://nitb.gov.pk/Scripts/functions.js","1","GET","nitb.gov.pk","/Scripts/functions.js","32092.31","869BCE5F59615A6069DEE4E77064FD18","https://nitb.gov.pk/","200","Script","2412","2339","7983","7982.633","77451","77451","77451","","","application/javascript","","49","http/1.1","-1","-1","-1","-1","-1","-1","https://nitb.gov.pk/","1351","","parser","High","High","","2179","0","0","23","-1","100","-1","-1","-1","-1","-1","-1","-1","77451","59418","","","","","0","","","5089","","","","","8081","","","10395","7983","10322","10322","10395","73","7983","10395","2412","15","16","29","14","42","1","0","in_body_parser_blocking","0","","","","","","","","",
"3","230330_GK_TP","32092.32","127.0.0.1","https://nitb.gov.pk/Content/include/rs-plugin/js/jquery.themepunch.tools.min.js","1","GET","nitb.gov.pk","/Content/include/rs-plugin/js/jquery.themepunch.tools.min.js","32092.32","869BCE5F59615A6069DEE4E77064FD18","https://nitb.gov.pk/","200","Script","5309","5255","8031","8030.842","110564","110564","110564","","","application/javascript","","75","http/1.1","-1","-1","-1","-1","-1","-1","https://nitb.gov.pk/","1352","","parser","High","High","","2296","0","0","34","-1","100","-1","-1","-1","-1","-1","-1","-1","110564","72258","","","","","0","","","5092","","","","","8081","","","13340","8031","13286","13286","13340","54","8031","13340","5309","16","17","83","36","1194","1","0","in_body_parser_blocking","1075","","","","","","","","",
"3","230330_GK_TP","32092.33","127.0.0.1","https://nitb.gov.pk/Content/include/rs-plugin/js/jquery.themepunch.revolution.min.js","1","GET","nitb.gov.pk","/Content/include/rs-plugin/js/jquery.themepunch.revolution.min.js","32092.33","869BCE5F59615A6069DEE4E77064FD18","https://nitb.gov.pk/","200","Script","883","850","8673","8672.638","64949","64949","64949","","","application/javascript","","55","http/1.1","-1","-1","-1","-1","-1","-1","https://nitb.gov.pk/","1353","","parser","High","High","","2311","0","0","27","-1","100","-1","-1","-1","-1","-1","-1","-1","64949","46878","","","","","0","","","5094","","","","","8081","","","9556","8673","9523","9523","9556","33","8673","9556","883","17","18","27","24","116","1","0","in_body_parser_blocking","65","","","","","","","","",
"3","230330_GK_TP","32092.34","127.0.0.1","https://nitb.gov.pk/Content/include/rs-plugin/js/extensions/revolution.extension.video.min.js","1","GET","nitb.gov.pk","/Content/include/rs-plugin/js/extensions/revolution.extension.video.min.js","32092.34","869BCE5F59615A6069DEE4E77064FD18","https://nitb.gov.pk/","200","Script","516","508","9071","9070.637","26079","26079","26079","","","application/javascript","","25","http/1.1","-1","-1","-1","-1","-1","-1","https://nitb.gov.pk/","1354","","parser","High","High","","2338","0","0","27","-1","100","-1","-1","-1","-1","-1","-1","-1","26079","19032","","","","","0","","","5096","","","","","8081","","","9587","9071","9579","9579","9587","8","9071","9587","516","18","19","8","7","16","1","0","in_body_parser_blocking","","","","","","","","","",
"3","230330_GK_TP","32092.35","127.0.0.1","https://nitb.gov.pk/Content/include/rs-plugin/js/extensions/revolution.extension.slideanims.min.js","1","GET","nitb.gov.pk","/Content/include/rs-plugin/js/extensions/revolution.extension.slideanims.min.js","32092.35","869BCE5F59615A6069DEE4E77064FD18","https://nitb.gov.pk/","200","Script","508","496","9560","9559.656","29070","29070","29070","","","application/javascript","","55","http/1.1","-1","-1","-1","-1","-1","-1","https://nitb.gov.pk/","1355","","parser","High","High","","2353","0","0","23","-1","100","-1","-1","-1","-1","-1","-1","-1","29070","22200","","","","","0","","","5097","","","","","8081","","","10068","9560","10056","10056","10068","12","9560","10068","508","19","20","9","8","17","1","0","in_body_parser_blocking","","","","","","","","","",
