"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpuTime","run","cached","renderBlocking","cpu.FunctionCall","jpeg_scan_count","score_progressive_jpeg","initiator_function","http2_server_settings",
"3","230330_1Z_HX","13041.56","127.0.0.1","https://nepra.org.pk/publications/img/SOI/soi2007.jpg","1","GET","nepra.org.pk","/publications/img/SOI/soi2007.jpg","13041.56","3E25B7820102F865A927F198B8A205ED","https://nepra.org.pk/publications/State%20of%20Industry%20Reports.php","200","Image","4265","4240","2206","2205.696","84565","84565","84565","","max-age=14400","image/jpeg","","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://nepra.org.pk/publications/State%20of%20Industry%20Reports.php","832","","parser","Low","Low","","2128","50","100","-1","-1","100","-1","-1","35","-1","-1","-1","-1","","","","","84565","54350","14400","Cloudflare","","2177","85","83","147","1","","","","","8081","","","6471","2206","6446","6446","6471","25","2206","6471","4265","51","52","","","","1","0","","","1","0","","",
"3","230330_1Z_HX","13041.57","127.0.0.1","https://nepra.org.pk/publications/img/SOI/soi2006.jpg","1","GET","nepra.org.pk","/publications/img/SOI/soi2006.jpg","13041.57","3E25B7820102F865A927F198B8A205ED","https://nepra.org.pk/publications/State%20of%20Industry%20Reports.php","200","Image","4343","4326","2206","2206.114","65757","65757","65757","","max-age=14400","image/jpeg","","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://nepra.org.pk/publications/State%20of%20Industry%20Reports.php","832","","parser","Low","Low","","2128","50","100","-1","-1","100","-1","-1","29","-1","-1","-1","-1","","","","","65757","46342","14400","Cloudflare","","2178","87","85","147","1","","","","","8081","","","6549","2206","6532","6532","6549","17","2206","6549","4343","52","53","","","","1","0","","","1","0","","",
"3","230330_1Z_HX","13041.62","127.0.0.1","https://nepra.org.pk/assets/img/citizenportal.jpg","1","GET","nepra.org.pk","/assets/img/citizenportal.jpg","13041.62","3E25B7820102F865A927F198B8A205ED","https://nepra.org.pk/publications/State%20of%20Industry%20Reports.php","200","Image","504","483","2207","2206.587","77418","77418","77418","","max-age=14400","image/jpeg","","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://nepra.org.pk/publications/State%20of%20Industry%20Reports.php","832","","parser","Low","Low","","2116","50","100","-1","-1","100","-1","-1","86","-1","-1","-1","-1","","","","","77418","10065","12123","Cloudflare","","2179","89","87","147","1","","","","","8081","","","2711","2207","2690","2690","2711","21","2207","2711","504","53","54","","","","1","0","","","1","0","","",
"3","230330_1Z_HX","13041.130","127.0.0.1","https://nepra.org.pk/assets/img/bg/industryreports.jpg","1","GET","nepra.org.pk","/assets/img/bg/industryreports.jpg","13041.130","3E25B7820102F865A927F198B8A205ED","https://nepra.org.pk/publications/State%20of%20Industry%20Reports.php","200","Image","4478","4448","2207","2206.947","106320","106320","106320","","max-age=14400","image/jpeg","","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://nepra.org.pk/assets/css/style.css","","","parser","High","Low","","2047","50","100","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","106320","0","14400","Cloudflare","","2180","91","55","220","1","","","","","8081","","","6685","2207","6655","6655","6685","30","2207","6685","4478","54","55","","","","1","0","non_blocking","","1","0","","",
"3","230330_1Z_HX","13041.131","127.0.0.1","https://nepra.org.pk/assets/img/footer-bg.jpg","1","GET","nepra.org.pk","/assets/img/footer-bg.jpg","13041.131","3E25B7820102F865A927F198B8A205ED","https://nepra.org.pk/publications/State%20of%20Industry%20Reports.php","200","Image","5194","5093","2207","2207.33","714699","714699","714699","","max-age=14400","image/jpeg","","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://nepra.org.pk/assets/css/style.css","","","parser","Low","Low","","2020","50","100","-1","-1","100","-1","-1","27","-1","-1","-1","-1","","","","","714699","516698","12123","Cloudflare","","2181","93","89","147","1","","","","","8081","","","7401","2207","7300","7300","7401","101","2207","7401","5194","55","56","","","","1","0","non_blocking","","1","0","","",
"3","230330_1Z_HX","D58B360EDF9F9D72FF5999DD59088F1B","127.0.0.1","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3318.709549998851!2d73.10042354597283!3d33.71646384544573!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38dfc070034679a7%3A0x830e942782a4ede!2z2YbbjNi02YbZhCDYp9mE24zaqdm52LHaqSDZvtin2YjYsSDYsduM2q_ZiNmE24zZudix24wg2KfYqtq-2KfYsdm524w!5e0!3m2!1sur!2s!4v1516002571483","1","GET","www.google.com","/maps/embed?pb=!1m18!1m12!1m3!1d3318.709549998851!2d73.10042354597283!3d33.71646384544573!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38dfc070034679a7%3A0x830e942782a4ede!2z2YbbjNi02YbZhCDYp9mE24zaqdm52LHaqSDZvtin2YjYsSDYsduM2q_ZiNmE24zZudix24wg2KfYqtq-2KfYsdm524w!5e0!3m2!1sur!2s!4v1516002571483","D58B360EDF9F9D72FF5999DD59088F1B","3F3F293FEF2B566315D9AF655D13D568","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3318.709549998851!2d73.10042354597283!3d33.71646384544573!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38dfc070034679a7%3A0x830e942782a4ede!2z2YbbjNi02YbZhCDYp9mE24zaqdm52LHaqSDZvtin2YjYsSDYsduM2q_ZiNmE24zZudix24wg2KfYqtq-2KfYsdm524w!5e0!3m2!1sur!2s!4v1516002571483","200","Document","429","427","2216","2215.544","2082","2082","5635","Fri, 01 Jan 1990 00:00:00 GMT","no-cache, must-revalidate","text/html","gzip","14","HTTP/2","-1","-1","-1","-1","-1","-1","https://nepra.org.pk/publications/State%20of%20Industry%20Reports.php","832","","parser","Highest","Highest","","3115","-1","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","2082","0","","","","","","Google","","2185","7","5","256","1","","","","","","","","2645","2216","2643","2643","2645","2","2216","2645","429","56","57","","","","1","0","","","","","","",
"3","230330_1Z_HX","13041.165","127.0.0.1","https://www.google.com/cse/static/element/c23214b953e32f29/mobile+en.css","1","GET","www.google.com","/cse/static/element/c23214b953e32f29/mobile+en.css","13041.165","3E25B7820102F865A927F198B8A205ED","https://nepra.org.pk/publications/State%20of%20Industry%20Reports.php","200","Stylesheet","176","174","2578","2577.875","1509","1509","4919","Thu, 28 Mar 2024 18:05:15 GMT","public, max-age=31536000","text/css","gzip","14","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.google.com/cse/static/element/c23214b953e32f29/cse_element__en.js?usqp=CAI%3D","552","508","script","Highest","Highest","","1900","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","1509","0","","","","","31447125","Google","","2577","9","7","256","1","","","","","","","","2754","2578","2752","2752","2754","2","2578","2754","176","57","58","","","","1","0","dynamically_injected_non_blocking","","","","g.ls","",
"3","230330_1Z_HX","13041.166","127.0.0.1","https://cse.google.com/adsense/search/async-ads.js","1","GET","cse.google.com","/adsense/search/async-ads.js","13041.166","3E25B7820102F865A927F198B8A205ED","https://nepra.org.pk/publications/State%20of%20Industry%20Reports.php","200","Script","549","532","2587","2586.985","52471","52471","143712","Thu, 30 Mar 2023 18:46:30 GMT","private, max-age=3600","text/javascript","gzip","128","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.google.com/cse/static/element/c23214b953e32f29/cse_element__en.js?usqp=CAI%3D","430","205","script","Low","Low","","1792","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","52883","0","","","","","3600","Google","","2583","3","0","147","1","","","","","8081","","","3136","2587","3119","3119","3136","17","2587","3136","549","58","59","77","62","139","1","0","non_blocking","","","","","",
"3","230330_1Z_HX","13184.2","127.0.0.1","https://maps.googleapis.com/maps/api/js?client=google-maps-embed&paint_origin=&libraries=geometry,search&v=3.exp&language=en_GB&callback=onApiLoad","1","GET","maps.googleapis.com","/maps/api/js?client=google-maps-embed&paint_origin=&libraries=geometry,search&v=3.exp&language=en_GB&callback=onApiLoad","13184.2","3F3F293FEF2B566315D9AF655D13D568","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3318.709549998851!2d73.10042354597283!3d33.71646384544573!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38dfc070034679a7%3A0x830e942782a4ede!2z2YbbjNi02YbZhCDYp9mE24zaqdm52LHaqSDZvtin2YjYsSDYsduM2q_ZiNmE24zZudix24wg2KfYqtq-2KfYsdm524w!5e0!3m2!1sur!2s!4v1516002571483","200","Script","410","394","2960","2960.259","57695","57695","176399","Thu, 30 Mar 2023 18:53:23 GMT","public, max-age=1800","text/javascript","gzip","135","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3318.709549998851!2d73.10042354597283!3d33.71646384544573!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38dfc070034679a7%3A0x830e942782a4ede!2z2YbbjNi02YbZhCDYp9mE24zaqdm52LHaqSDZvtin2YjYsSDYsduM2q_ZiNmE24zZudix24wg2KfYqtq-2KfYsdm524w!5e0!3m2!1sur!2s!4v1516002571483","94","","parser","Low","Low","","2086","0","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","57695","0","","","","","413","Google","","2937","5","","","","","","","","","","","3370","2960","3354","3354","3370","16","2960","3370","410","59","60","","","","1","0","potentially_blocking","","","","","",
"3","230330_1Z_HX","99999.99999.1","127.0.0.1","https://content-autofill.googleapis.com/v1/pages/ChRDaHJvbWUvOTIuMC40NTE1LjEzMRIQCUi-qsXgCNbiEgUNZ2ez_g==?alt=proto","1","","content-autofill.googleapis.com","/v1/pages/ChRDaHJvbWUvOTIuMC40NTE1LjEzMRIQCUi-qsXgCNbiEgUNZ2ez_g==?alt=proto","99999.99999.1","3E25B7820102F865A927F198B8A205ED","","200","","375","371","2970","2969.508","36","36","16","","private,max-age=604800","text/plain","gzip","305","HTTP/2","-1","-1","2953","2957","2958","2966","","","","","Lowest","","","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","8","","","","","","","","","","2943","1","0","110","1","TLS 1.3","False","h2","4865","8081","","","3345","2970","3341","3341","3345","4","2953","3345","387","60","61","","","","1","0","","","","","","{'SETTINGS_MAX_FRAME_SIZE': 1048576, 'SETTINGS_MAX_CONCURRENT_STREAMS': 250, 'SETTINGS_MAX_HEADER_LIST_SIZE': 1048896, 'SETTINGS_INITIAL_WINDOW_SIZE': 1048576}",
