"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","http://www.mofept.gov.pk/LatestNews","1","18243","18243","0","18243","18243","19072","19072","0","19072","19072","4529","4529","0","4529","4529","9205","9205","0","9205","9205","7636546","7636546","0","7636546","7636546","61","61","0","61","61","18243","18243","0","18243","18243","11405","11405","0","11405","11405","13724","13724","0","13724","13724","13724","13724","0","13724","13724","230331_1C_93"
"","http://www.mofept.gov.pk/NewsDetail/MTA2NjRkZDctZjA4YS00ZTZiLWFlOTgtMDRlNmUzZGE1N2M2","1","9828","9828","0","9828","9828","10860","10860","0","10860","10860","1362","1362","0","1362","1362","5690","5690","0","5690","5690","3828295","3828295","0","3828295","3828295","52","52","0","52","52","9828","9828","0","9828","9828","6141","6141","0","6141","6141","8506","8506","0","8506","8506","8506","8506","0","8506","8506","230331_0F_94"
"","http://www.mofept.gov.pk/NewsDetail/MGMxNjcwOTMtMThkZS00YmUyLWJmM2UtYzk5NDcyZGU4ZDZj","1","8506","8506","0","8506","8506","9192","9192","0","9192","9192","1196","1196","0","1196","1196","5059","5059","0","5059","5059","3750352","3750352","0","3750352","3750352","54","54","0","54","54","8506","8506","0","8506","8506","5324","5324","0","5324","5324","7841","7841","0","7841","7841","7841","7841","0","7841","7841","230331_14_95"
"","http://www.mofept.gov.pk/NewsDetail/ZTY2NjI1MDktOWFjNS00ZjVlLThiODktMzAyYzY2OGIwYzFk","1","10651","10651","0","10651","10651","11713","11713","0","11713","11713","1749","1749","0","1749","1749","5491","5491","0","5491","5491","4757345","4757345","0","4757345","4757345","55","55","0","55","55","10652","10652","0","10652","10652","6686","6686","0","6686","6686","11111","11111","0","11111","11111","11111","11111","0","11111","11111","230331_FE_96"
"","http://www.mofept.gov.pk/NewsDetail/MzRiNjY0ZGEtY2Y2ZS00ZjcxLTg0MDQtYjk4ZmI1NTZhOTlm","1","8590","8590","0","8590","8590","10835","10835","0","10835","10835","1404","1404","0","1404","1404","5311","5311","0","5311","5311","3727554","3727554","0","3727554","3727554","54","54","0","54","54","8590","8590","0","8590","8590","5547","5547","0","5547","5547","7873","7873","0","7873","7873","7873","7873","0","7873","7873","230331_8Y_97"
"","http://www.mofept.gov.pk/NewsDetail/ZmUxNmVhNjgtM2I1OC00ZmIzLThlNTItZWZkNzE3ODliMzhh","1","9117","9117","0","9117","9117","9956","9956","0","9956","9956","1841","1841","0","1841","1841","5738","5738","0","5738","5738","3707101","3707101","0","3707101","3707101","54","54","0","54","54","9117","9117","0","9117","9117","5998","5998","0","5998","5998","8327","8327","0","8327","8327","8327","8327","0","8327","8327","230331_11_98"
"","http://www.mofept.gov.pk/NewsDetail/ODlmMWI4ZGUtOWVkNS00OWYzLTllN2ItY2E1N2FiZTEwYTZi","1","8641","8641","0","8641","8641","9277","9277","0","9277","9277","1547","1547","0","1547","1547","5214","5214","0","5214","5214","3762043","3762043","0","3762043","3762043","54","54","0","54","54","8641","8641","0","8641","8641","5479","5479","0","5479","5479","7858","7858","0","7858","7858","7858","7858","0","7858","7858","230331_CG_99"
"","http://www.mofept.gov.pk/ProjectDetail/ZDZjYzY3ZDAtZTQ2OS00NGRhLTliNmItMzJmMzdiYTY3ZDE0","1","9179","9179","0","9179","9179","9950","9950","0","9950","9950","1768","1768","0","1768","1768","5798","5798","0","5798","5798","4269242","4269242","0","4269242","4269242","58","58","0","58","58","9179","9179","0","9179","9179","6920","6920","0","6920","6920","8440","8440","0","8440","8440","8440","8440","0","8440","8440","230331_W6_9A"
"","http://www.mofept.gov.pk/ProjectDetail/MDJmZWYzOWMtMjA0NC00Yjg3LWE2MGUtOTAxYWU5ZTgwMTBj","1","9162","9162","0","9162","9162","10220","10220","0","10220","10220","1294","1294","0","1294","1294","5766","5766","0","5766","5766","3849224","3849224","0","3849224","3849224","56","56","0","56","56","9162","9162","0","9162","9162","7494","7494","0","7494","7494","8506","8506","0","8506","8506","8506","8506","0","8506","8506","230331_MH_9B"
"","http://www.mofept.gov.pk/ProjectDetail/YzYxNjUwNDktMjgzMi00YmU3LTkxMzItYWRiZWZjNmU4MDM3","1","8782","8782","0","8782","8782","9531","9531","0","9531","9531","1990","1990","0","1990","1990","6167","6167","0","6167","6167","3011496","3011496","0","3011496","3011496","45","45","0","45","45","8782","8782","0","8782","8782","7740","7740","0","7740","7740","8326","8326","0","8326","8326","8326","8326","0","8326","8326","230331_SH_9C"
